RAA20161129201611284818010640000サラＣ２０組　Ｃ２０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２０組　Ｃ２０サラＣ２０組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,4,6,8,9,3,1,5                                                     202,7,4,6,8,9,3,1,5                                                     302,7,6,4,9,8,3,1,5                                                     402,7,6,8,9,4,3,1,5                                                     0
RAA20161105201611044816040580000サラＣ３組　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ３組　Ｃ３　　サラＣ３組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,7,1,5,4,9,6,8                                                     202,3,7,1,5,4,(6,9),8                                                   302,7,3,1,5,4,6,9,8                                                     402,7,1,3,5,4,6,9,8                                                     0
RAA20161119201611184817040580000ひとちゃん＆ともくん１周年記念　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ひとちゃん＆ともくんひとちゃん＆ひとち0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,4,7,8,1,9,5,2,3                                                  206,10,8,4,7,1,9,5,2,3                                                  30(6,8,10),4,7,(1,5,9),2,3                                              406,8,10,4,7,1,5,9,2,3                                                  0
RAA20161105201611044816040380000サラ３歳１４組　１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳１４組　１４サラ３歳１４サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000460000002300000014000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,8,2,(5,6),1,4                                                     203,7,8,2,5,6,1,4                                                       303,8,7,2,5,4,6,1                                                       403,8,2,1,(5,7),6,4                                                     0
RAA20161118201611174817030270000サラＣ１２組　Ｃ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１２組　Ｃ１２サラＣ１２組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,8,1,7,6,5,2                                                       203,4,(1,8),6,7,5,2                                                     303,4,(6,8),1,7,2,5                                                     403,(4,6),1,7,8,2,5                                                     0
RAA20161129201611284818010740000サラＣ１９組　Ｃ１９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１９組　Ｃ１９サラＣ１９組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,9,5,2,6,1,4,3                                                     207,8,9,2,5,6,4,1,3                                                     307,9,8,2,5,6,4,1,3                                                     407,9,2,8,5,4,6,1,3                                                     0
RAA20161129201611284818010840000サラＣ１８組　Ｃ１８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１８組　Ｃ１８サラＣ１８組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,9,4,6,2,7,1                                                       203,9,4,8,6,(2,7),1                                                     303,9,4,8,6,2,7,1                                                       403,2,9,8,6,7,4,1                                                       0
RAA20161129201611284818010340000あと２日ＬＶＲ名古屋ラウンド　Ｃ２３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     あと２日ＬＶＲ名古屋あと２日ＬＶあと２0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,6,9,4,7,5,2,1                                                     203,8,6,9,4,7,5,2,1                                                     303,8,(6,9),5,4,7,1,2                                                   403,8,9,6,5,4,1,7,2                                                     0
RAA20161115201611144817010340000あと３日東海菊花賞　Ｃ８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     あと３日東海菊花賞　あと３日東海あと３0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,6,8,7,2,3,4                                                       201,5,6,8,7,2,4,3                                                       301,5,8,6,(2,7),(3,4)                                                   401,(5,7),2,(6,8),3,4                                                   0
RAA20161117201611164817020560000サラＣ１４組　Ｃ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１４組　Ｃ１４サラＣ１４組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,2,4,1,6,3                                                         205,7,2,4,1,6,3                                                         305,7,(2,4),1,6,3                                                       405,4,2,6,1,7,3                                                         0
