HN120021220111008350000000000000000000フジノオー　　　　　　　　　　　　　ﾌｼﾞﾉｵｰ                                  Fujino O                                                                        1959110100000浦河町　　　　　　　1110016812101141
HN120021220111008650000000000000000000アザーストーンウツド　　　　　　　　ｱｻﾞｰｽﾄｰﾝｳﾂﾄﾞ                            Atherstone Wood                                                                 1964110330000英　　　　　　　　　1130025712404158
HN120021220111008750000000000000000000ダツパー　　　　　　　　　　　　　　ﾀﾞﾂﾊﾟｰ                                  Dapper                                                                          1965110230000愛　　　　　　　　　1130010012403334
HN120021220111008850000000000000000000ナスノニシキ　　　　　　　　　　　　ﾅｽﾉﾆｼｷ                                  Nasuno Nishiki                                                                  1959110100000栃木県　　　　　　　1110009112101723
HN120021220111009350000000000000000000ヘンリーヒギンズ　　　　　　　　　　ﾍﾝﾘｰﾋｷﾞﾝｽﾞ                              Henry Higgins                                                                   1964110130000英　　　　　　　　　1130070912404173
HN120021220111009450000000000000000000ゴールデンパス　　　　　　　　　　　ｺﾞｰﾙﾃﾞﾝﾊﾟｽ                              Golden Path                                                                     1962110410000門別町　　　　　　　1130008212102464
HN120021220111009650000000000000000000アンデス　　　　　　　　　　　　　　ｱﾝﾃﾞｽ                                                                                                                   1960110300000浦河町　　　　　　　1110024812101679
HN120021220111010150000000000000000000インターメゾ　　　　　　　　　　　　ｲﾝﾀｰﾒｿﾞ                                 Intermezzo                                                                      1966110430000英　　　　　　　　　1130013512404183
HN120021220111010350000000000000000000ミノル　　　　　　　　　　　　　　　ﾐﾉﾙ                                     Minoru                                                                          1966110300000浦河町　　　　　　　1110026312102807
HN120021220111010550000000000000000000アバーナントニセイ　　　　　　　　　ｱﾊﾞｰﾅﾝﾄﾆｾｲ                              Abernant Nisei                                                                  1965110310000千葉県　　　　　　　1130000712103924
HN120021220111010650000000000000000000グスタフ　　　　　　　　　　　　　　ｸﾞｽﾀﾌ                                   Gustav                                                                          1959110730000英　　　　　　　　　1130004812401145
HN120021220111010750000000000000000000タイギヨウ　　　　　　　　　　　　　ﾀｲｷﾞﾖｳ                                  Taigyo                                                                          1964110110000静内町　　　　　　　1130012412103338
HN120021220112000150000000000000000000ジヤングルプリンス　　　　　　　　　ｼﾞﾔﾝｸﾞﾙﾌﾟﾘﾝｽ                            Jungle Prince                                                                   1966110330000英　　　　　　　　　1130030012403801
HN120021220112000250000000000000000000フオンタラバル　　　　　　　　　　　ﾌｵﾝﾀﾗﾊﾞﾙ                                Fontarabal                                                                      1967110330000仏　　　　　　　　　1140002312301762
HN120021220112000350000000000000000000アマノガワ　　　　　　　　　　　　　ｱﾏﾉｶﾞﾜ                                  Amanogawa                                                                       1965110310000栃木県　　　　　　　1130011912103908
HN120021220112000450000000000000000000アローエクスプレス　　　　　　　　　ｱﾛｰｴｸｽﾌﾟﾚｽ                              Arrow Express                                                                   1967110300000静内町　　　　　　　1110069712101405
HN120021220112000550000000000000000000ドラパル　　　　　　　　　　　　　　ﾄﾞﾗﾊﾟﾙ                                  Dolapal                                                                         1965110130000新　　　　　　　　　1130118412404248
HN120021220112000650000000000000000000ロイヤルドリマー　　　　　　　　　　ﾛｲﾔﾙﾄﾞﾘﾏｰ                               Royal Dorimar                                                                   1960110130000米　　　　　　　　　1130101812401552
HN120021220112000750000000000000000000ステユーペンダス　　　　　　　　　　ｽﾃﾕｰﾍﾟﾝﾀﾞｽ                              Stupendous                                                                      1963110630000米　　　　　　　　　1130024712302039
HN120021220112000950000000000000000000ミズホ　　　　　　　　　　　　　　　ﾐｽﾞﾎ                                                                                                                    1967110310000青森県　　　　　　　1130004012105245
