2014121306040301
1,スリーキーノート,91.18,27.5,50.4
2,ダイメイコンドル,88.57,72.5,54.6
3,クレアーフォンテン,90.28,52.3,45.9
4,パイレーツナイト,91.08,36.2,53.7
5,オランジュバトー,88.81,54.2,59.2
6,シゲルエイサー,89.70,22.4,41.4
7,スカイルピナス,89.95,53.6,52.0
8,パルミエ,90.32,52.1,54.4
9,クリノタンヤオ,90.66,32.7,50.0
10,セイカフォルテシモ,88.30,61.5,47.5
11,アイファーハート,89.96,43.0,42.7
12,ハードアスリート,89.25,46.4,45.6
13,リアルプロジェクト,88.49,66.8,42.7
14,カツカモ,88.82,65.1,51.7
15,ゼトス,87.97,66.1,56.0
16,ビップフライト,90.07,46.8,52.1
2014121307040302
1,マッサローザ,115.66,47.6,50.0
2,ブロンクスシルバー,114.17,70.5,46.2
3,アルマミーア,114.41,69.0,49.8
4,ダニカ,116.61,25.3,62.4
5,デルマハンニャ,115.16,59.8,50.9
6,バトルヴェルデ,115.31,47.1,46.9
7,ワンダーテルヌーラ,115.72,40.6,46.4
8,ヴェルメンティーノ,116.14,56.3,48.6
9,キクノブランカ,117.40,18.3,47.1
10,アラドヴァル,114.34,61.0,50.6
11,クラリティーエス,113.58,66.7,48.9
12,チャードリー,115.47,37.2,52.3
2014121307040303
1,サーストンデンバー,72.87,66.1,54.7
2,ハルズハッピー,73.37,37.0,48.7
3,ケイリンボス,72.55,77.0,53.4
4,マチルダ,73.32,47.9,48.6
5,レッドジョーカー,73.29,43.7,44.4
6,オリエンタルエジル,73.30,36.8,52.6
7,ディープミタカ,72.72,70.2,60.5
8,マハーシュリー,73.13,42.5,51.0
9,マウントフジ,73.49,50.4,53.2
10,スリーエスペラント,73.19,47.5,36.3
11,サーシスリーフ,73.07,66.0,44.5
12,ウエスタンニンジャ,72.84,59.3,51.4
13,ミシックトウショウ,73.31,52.1,52.2
14,マカゼコイカゼ,73.76,25.3,49.5
15,ホワイトクリスマス,73.06,44.7,49.5
16,イロリ,73.50,32.8,49.5
2014121307040304
1,リッシュレーヴ,200.49,,
2,ホウザンドラゴン,200.91,,
3,タマモプラネット,198.89,,
4,ヒラボクインパクト,200.74,,
5,ウォーターメジャー,202.13,,
6,プレミアムカード,201.58,,
7,ロードメビウス,204.80,,
8,クリノキングムーン,203.18,,
9,シゲルシモウサ,203.17,,
10,キープトライン,199.96,,
11,ウメジマダイオー,199.79,,
12,ワンダーバライル,203.07,,
13,ダイワズーム,202.80,,
14,クラバウターマン,205.43,,
2014121307040305
1,アマクサハイヤ,221.23,,
2,スリーマーゴーン,218.78,,
3,ラッキーバニラ,219.66,,
4,リアルブラック,221.44,,
5,シゲルヒタチ,221.56,,
6,エーシンジーライン,219.12,,
7,タイセイジーニアス,220.13,,
8,シゲルヘビザ,222.34,,
9,ニライジンク,221.37,,
10,ビコーピリラニ,221.15,,
11,エイブルブラッド,219.96,,
12,レッドグルーヴァー,220.06,,
13,プレミアムウォーズ,220.37,,
14,グリッターウイング,219.21,,
2014121307040306
1,ロングフェニックス,125.15,,53.0
2,スピリッツミノル,125.26,53.7,41.9
3,トミケンブレスク,125.90,37.0,44.8
4,ラウレアブルーム,125.03,84.1,58.2
5,ココスタイル,124.85,72.2,60.1
6,クリノチーホー,126.36,21.0,49.3
7,ラインキュート,125.16,31.2,54.3
8,ロードプレステージ,124.92,58.3,55.5
9,アルトサックス,125.34,57.3,50.5
10,エイシンアシュラ,125.59,38.9,47.8
11,ライブリファースト,126.11,27.1,43.7
12,ヴァーサトル,124.71,84.2,45.4
13,ローデッド,125.74,54.9,59.4
14,ハーブガーデン,125.60,54.3,42.1
15,デルマフウライマツ,126.15,28.0,46.5
16,タイムトゥシャイン,125.51,38.2,56.1
17,ウイングアクティブ,125.37,58.9,41.4
2014121307040307
1,ジェイケイホーム,86.77,46.2,54.5
2,スズカチャンプ,85.77,66.7,56.8
3,スペシャルリッチ,86.42,36.5,54.0
4,ビバハイタッチ,86.35,58.0,48.0
5,ドレッシースタイル,85.16,74.0,50.9
6,サマーラヴ,86.76,37.5,44.1
7,ゼンノコリオリ,85.50,69.2,50.2
8,シゲルアボカド,86.03,36.1,52.1
9,ブレイクアウト,85.57,62.1,60.2
10,トシファイブスター,86.83,46.4,48.6
11,ムーンドロップ,87.01,28.5,44.3
12,キングズウェザー,85.70,54.1,53.7
13,セルリアンラビット,86.01,47.5,47.6
14,レッドジャイヴ,86.72,22.7,55.7
15,ブルーフラッシュ,86.71,59.8,40.4
16,タカラジャンヌ,86.99,53.9,38.7
2014121307040308
1,マイネマレフィカ,123.30,44.0,39.1
2,ヤマニンシェリル,122.34,53.6,50.2
3,ベッラレジーナ,123.71,57.2,58.7
4,イタリアンフェッテ,123.11,28.0,39.3
5,シードオブハピネス,123.59,43.5,58.0
6,ティックルゴールド,122.75,63.1,57.7
7,ピサノベッテル,122.28,57.5,41.2
8,ドリームティアラ,123.28,63.2,57.4
9,チャペルプリンセス,122.24,63.1,60.7
10,トウカイセンス,122.53,69.8,62.4
11,ニシノチャステティ,123.78,43.5,41.9
12,リボントリコロール,123.57,74.1,54.4
13,アディシオン,123.72,13.0,49.3
14,リヴィエール,123.34,75.1,61.6
15,メイショウグレア,123.25,28.3,37.5
16,ベストセラーアスク,123.69,26.8,59.2
17,ノースパストラル,122.87,49.5,36.7
