RAA20090424200904234402041270000サラ系一般　Ｃ１四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001300000004550000026000000195000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,13,10,5,12,1,8,7,2,3,4,11,9                                         206,13,(1,10,12),5,8,7,3,2,(4,11),9                                     30(6,13),10,12,1,5,8,4,7,3,11,9,2                                       4013,(6,10),12,1,5,8,4,7,3,11,9,2                                       0
RAA20090425200904244402051280000北区特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          北区特別　Ｃ１一　　北区特別　Ｃ北区特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0002100000007350000042000000315000002100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,11,9,3,7,4,8,1,10,6                                               202,5,11,3,9,7,4,8,1,10,6                                               30(2,5),11,9,3,7,4,8,1,10,6                                             405,2,11,9,3,7,4,(8,10),1,6                                             0
RAA20090408200904074401021050000フォーチュネイトアネモネ特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               フォーチュネイトアネフォーチュネフォー0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0002500000008750000050000000375000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,1,11,12,(5,8),9,13,2,6,10,7,3                                       404,(1,11),12,5,8,2,9,13,6,10,7,3                                       00                                                                      00                                                                      0
RAA20090409200904084401031160000東京スプリント（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKYO SPRINT                                                                                                                                                                                                                                                                                                                                                            東京スプリント（中央東京スプリン東京ス0000C 140002000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00300000001050000006000000030000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016161610100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003012,8,2,5,3,1,10,11,(4,7,14),16,6,15,9,13                              4012,8,2,5,3,1,11,(4,10),14,7,6,16,9,15,13                              00                                                                      00                                                                      0
RAA20090410200904094401040970000フォーチュネイトライラック特別（中央交流　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               フォーチュネイトライフォーチュネフォー0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0002500000008750000050000000375000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,5,(3,11),9,2,12,7,(6,10),8                                        201,4,5,3,9,11,(2,12),10,7,6,8                                          3010,1,11,5,9,7,8,12,2,4,6,3                                            4010,1,9,11,7,5,12,8,2,6,4,3                                            0
RAA20090410200904094401041070000アーバンステージ卯月賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           アーバンステージ卯月アーバンステアーバ0000E 140002000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0004000000014000000080000000600000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,(2,3,5),13,10,(6,12),11,7,4,8,9                                     401,3,5,2,13,6,(10,11,12),(4,8),7,9                                     00                                                                      00                                                                      0
RAA20090424200904234402040970000フォーチュネイトはなみずき特別（中央交流　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               フォーチュネイトはなフォーチュネフォー0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000250000000875000005000000037500000250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000131313103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(1,6,7),(10,12),2,3,5,13,8,11,4,9                                     4010,(1,6,7),12,(2,5),3,8,13,11,4,9                                     00                                                                      00                                                                      0
RAA20090409200904084401030760000サラ系一般　Ｃ２１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000003500000020000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,10,11,3,4,14,8,7,1,12,2,13,5                                      206,9,10,3,11,4,14,8,12,7,1,2,13,5                                      3010,9,6,11,12,3,8,14,7,5,1,(2,4),13                                    4010,9,12,6,3,11,8,14,7,5,1,4,2,13                                      0
RAA20090409200904084401030660000サラ系一般　Ｃ３七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    00008000000028000000160000001200000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,3,12,9,1,6,7,10,(4,5),8,2                                          2011,3,12,1,9,6,7,10,5,8,4,2                                            3011,3,1,12,7,9,4,5,(2,6),10,8                                          4011,3,1,12,9,4,7,(2,6),5,10,8                                          0
RAA20090407200904064401010740000サラ系一般　Ｃ２五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0001000000003500000020000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,7,9,10,8,5,11,6,2,3                                               201,4,7,9,8,10,5,6,11,2,3                                               301,4,7,9,8,6,10,5,11,2,3                                               401,4,9,7,8,6,5,10,11,2,3                                               0
