RAA20091104200911034815020850000ゴールドウィング賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　GOLD WING SHO                                                                                                                                                                                                                                                                                                                                                           ゴールドウィング賞　ゴールドウィゴール0000D 110002000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    0003000000006900000024000000150000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,9,1,8,7,2,5,10,6,11                                               203,4,9,1,8,7,2,5,6,10,11                                               303,4,9,1,2,8,7,5,6,11,10                                               403,8,9,4,2,6,7,5,11,1,10                                               0
RAA20091103200911024815010540000祝☆ＪＢＣ前夜＆古屋結婚記念☆　Ｃ２７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     祝☆ＪＢＣ前夜＆古屋祝☆ＪＢＣ前祝☆Ｊ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000440000001800000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,8,3,9,2,6,(1,5,10),7                                                204,8,3,2,9,5,10,6,1,7                                                  304,8,3,2,10,9,5,6,1,7                                                  408,4,3,2,10,9,5,1,6,7                                                  0
RAA20091107200911064815050980000サラＢ１１組　Ｂ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＢ１１組　Ｂ１１サラＢ１１組サラＢ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000460000001900000014000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,3,8,6,5,10,7,4,2                                                  201,9,8,3,6,7,5,10,4,2                                                  301,9,8,3,5,6,7,4,10,2                                                  401,9,8,3,7,5,6,2,4,10                                                  0
RAA20091121200911204816050380000サラＣ７組　Ｃ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ７組　Ｃ７　　サラＣ７組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000440000001800000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,5,6,2,4,10,7,8,9                                                  201,3,5,6,2,4,10,7,8,9                                                  301,3,5,6,2,4,7,10,8,9                                                  401,3,5,6,2,4,7,8,10,9                                                  0
RAA20091103200911024815010640000サラＣ２６組　Ｃ２６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２６組　Ｃ２６サラＣ２６組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00001700000004400000018000000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,3,6,8,5,1,2,7,4,9                                                  2010,6,3,8,1,5,2,7,4,9                                                  3010,6,8,3,5,1,7,2,4,9                                                  4010,8,6,1,3,7,5,2,4,9                                                  0
RAA20091104200911034815020950000ＪＢＣスプリント（中央交流）　Ｊｐｎ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　JBC SPRINT                                                                                                                                                                                                                                                                                                                                                              ＪＢＣスプリント（中ＪＢＣスプリＪＢＣ0000A 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0080000000208000001120000004800000032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,3,2,11,5,10,12,8,4,1                                              206,3,9,2,5,11,8,10,12,4,1                                              306,3,9,5,2,8,12,11,10,4,1                                              406,5,3,9,2,8,12,11,4,10,1                                              0
RAA20091104200911034815021050000ＪＢＣクラシック（中央交流）　Ｊｐｎ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　JBC CLASSIC                                                                                                                                                                                                                                                                                                                                                             ＪＢＣクラシック（中ＪＢＣクラシＪＢＣ0000A 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　190000002400    01000000002600000014000000060000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,12,5,7,1,3,2,6,8,4,9,11                                            2010,12,5,7,3,1,6,8,2,4,11,9                                            3010,12,5,7,3,1,4,8,6,9,2,11                                            4010,5,12,3,1,7,4,8,6,2,9,11                                            0
RAA20091105200911044815030260000サラＣ２３組　Ｃ２３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２３組　Ｃ２３サラＣ２３組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    0000170000000440000001800000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,9,8,10,5,7,3,4,6,1                                                  402,9,10,5,7,8,3,4,6,1                                                  00                                                                      00                                                                      0
RAA20091105200911044815030360000サラＣ２２組　Ｃ２２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２２組　Ｃ２２サラＣ２２組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000440000001800000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,9,1,10,4,3,6,8,2                                                  205,7,9,1,10,3,4,6,8,2                                                  305,7,9,1,10,3,4,6,8,2                                                  405,7,1,9,3,10,6,4,2,8                                                  0
RAA20091105200911044815030660000サラＣ１９組　Ｃ１９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１９組　Ｃ１９サラＣ１９組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000440000001800000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,9,1,6,10,2,8,3,5                                                  204,7,9,1,6,2,8,10,3,5                                                  304,7,9,1,6,8,2,10,3,5                                                  404,7,1,9,6,8,2,3,10,5                                                  0
RAA20091106200911054815040470000サラＣ１３組　Ｃ１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１３組　Ｃ１３サラＣ１３組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000440000001800000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,10,4,1,8,6,2,9,5                                                  203,7,10,8,4,1,6,9,2,5                                                  303,7,10,8,4,1,9,6,2,5                                                  403,7,10,8,4,1,9,6,2,5                                                  0
RAA20091106200911054815040770000サラＣ１０組　Ｃ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１０組　Ｃ１０サラＣ１０組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000440000001800000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,10,9,5,3,1,6,2,4                                                  207,8,10,5,9,3,1,6,4,2                                                  307,8,10,5,3,9,6,1,4,2                                                  407,8,3,5,1,10,9,6,4,2                                                  0
RAA20091107200911064815050580000サラＣ５組　Ｃ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ５組　Ｃ５　　サラＣ５組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000440000001800000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,3,8,10,4,6,1,7,5                                                  202,9,3,8,4,10,6,1,7,5                                                  302,9,8,3,4,10,1,6,7,5                                                  402,9,8,3,4,10,1,6,7,5                                                  0
RAA20091107200911064815050880000高森紀夫杯　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     高森紀夫杯　Ｃ２　　高森紀夫杯　高森紀0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000170000000440000001800000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,3,4,9,5,8,6,10,2,1                                                  207,3,4,9,8,5,6,10,2,1                                                  307,3,4,9,8,5,6,10,2,1                                                  407,4,3,9,8,5,6,10,2,1                                                  0
RAA20091117200911164816010240000サラＣ３０組　Ｃ３０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ３０組　Ｃ３０サラＣ３０組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000440000001800000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,7,10,2,1,6,9,8,4                                                  203,5,7,2,10,1,6,9,8,4                                                  303,5,7,2,6,1,10,9,8,4                                                  403,2,5,7,10,6,1,9,4,8                                                  0
RAA20091119200911184816030960000霜月特別　Ｂ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          霜月特別　Ｂ７　　　霜月特別　Ｂ霜月特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000250000000650000002700000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,8,6,10,2,7,9,3,5,1                                                  204,8,6,10,2,7,3,9,5,1                                                  304,8,6,10,2,7,9,3,5,1                                                  404,8,6,2,10,7,3,9,5,1                                                  0
RAA20091120200911194816040770000しょうき君２歳おめでとう記念　Ｃ９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     しょうき君２歳おめでしょうき君２しょう0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000190000000490000002000000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,2,6,8,5,3,1                                                       207,4,5,2,6,8,3,1                                                       307,4,5,2,6,3,8,1                                                       407,4,5,2,6,3,8,1                                                       0
RAA20091120200911194816041070000名古屋ＣｈＣキューピット賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          名古屋ＣｈＣキューピ名古屋ＣｈＣ名古屋0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　190000002400    0000540000001350000005400000032000000210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,6,1,2,3,7,8                                                       204,5,6,1,3,2,7,8                                                       304,5,1,2,6,3,7,8                                                       404,5,3,1,7,2,8,6                                                       0
RAA20091201200911304817010240000サラＣ３０組　Ｃ３０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ３０組　Ｃ３０サラＣ３０組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000440000001800000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,4,3,7,1,2,5,6,8                                                     209,4,3,7,2,1,5,6,8                                                     309,4,7,5,3,6,2,1,8                                                     409,4,5,7,6,3,1,2,8                                                     0
RAA20091201200911304817011040000サラＢ２組　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＢ２組　Ｂ２　　サラＢ２組　サラＢ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000180000000460000001900000014000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,6,9,2,3,7,1,5,4                                                     208,6,9,2,3,7,1,5,4                                                     308,6,9,2,7,3,1,4,5                                                     408,6,9,7,2,3,1,4,5                                                     0
RAA20091103200911024815010140000サラ２歳２組　２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ２歳２組　２　　サラ２歳２組サラ２0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000960000004000000029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,10,4,6,8,1,7,3,5,9                                                  202,10,4,6,1,7,8,3,5,9                                                  302,10,4,8,1,6,7,3,5,9                                                  4010,2,4,8,1,3,5,9,6,7                                                  0
RAA20091103200911024815010340000勝沼サクラの会甲州ワイン記念　Ｃ２９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     勝沼サクラの会甲州ワ勝沼サクラの勝沼サ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00001700000004400000018000000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,8,9,4,2,6,7,1,5,3                                                  2010,8,9,4,2,6,7,1,5,3                                                  3010,8,9,2,4,6,7,1,5,3                                                  4010,8,9,2,6,7,4,5,1,3                                                  0
RAA20091105200911044815030860000サラＣ１７組　Ｃ１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１７組　Ｃ１７サラＣ１７組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000440000001800000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,8,10,3,5,7,1,2,9,6                                                  204,8,10,3,5,7,2,9,1,6                                                  304,8,10,3,5,7,9,2,1,6                                                  404,8,10,3,5,7,9,2,1,6                                                  0
