RAA20110912201109074710030960000コスモス賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          コスモス賞（中央交流コスモス賞（コスモ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,10,7,5,8,1,9,6,4                                                  202,3,10,5,7,1,8,9,6,4                                                  302,5,3,1,7,8,6,10,9,4                                                  402,5,3,1,7,6,8,9,10,4                                                  0
RAA20110924201109234711040380000稟治郎５歳誕生日記念　１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          稟治郎５歳誕生日記念稟治郎５歳誕稟治郎0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,2,8,6,7,5,1                                                       203,4,2,8,6,7,5,1                                                       303,4,8,6,2,7,5,1                                                       404,3,8,6,2,1,5,7                                                       0
RAA20110923201109224711030470000サラ系３歳８組　８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳８組　８　サラ系３歳８サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,3,1,6,2,7,5,4                                                       208,3,1,6,2,7,5,4                                                       308,1,3,6,2,7,5,4                                                       408,6,1,3,2,7,5,4                                                       0
RAA20110909201109084710040370000サラ系３歳１２組　１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳１２組　１サラ系３歳１サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,4,8,2,9,1,3,5,6                                                     207,4,2,8,5,1,9,6,3                                                     307,4,5,2,8,1,9,6,3                                                     407,4,5,2,8,9,1,6,3                                                     0
RAA20110923201109224711030170000サラ系３歳１１組　１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳１１組　１サラ系３歳１サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,7,8,3,2,5,4                                                       201,7,6,8,5,3,2,4                                                       301,6,7,5,8,2,3,4                                                       401,6,5,7,8,2,3,4                                                       0
RAA20110924201109234711040480000ＹＵ競馬ツアー笠松参戦記念　１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ＹＵ競馬ツアー笠松参ＹＵ競馬ツアＹＵ競0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,4,3,6,2,1                                                         205,7,4,3,6,1,2                                                         307,3,5,4,6,1,2                                                         407,3,5,6,4,1,2                                                         0
RAA20110902201109014710010270000サラ系３歳５組　５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳５組　５　サラ系３歳５サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,1,8,3,6,5,2,7                                                     204,9,1,8,3,6,7,5,2                                                     304,9,6,7,1,8,5,2,3                                                     409,4,6,1,7,8,5,2,3                                                     0
RAA20110903201109024710020380000サラ系３歳８組　８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳８組　８　サラ系３歳８サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,2,3,9,6,1,8,5                                                     204,7,2,3,9,6,1,8,5                                                     304,7,2,3,9,1,6,8,5                                                     404,7,2,9,3,1,6,5,8                                                     0
RAA20110909201109084710040470000サラ系３歳１１組　１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳１１組　１サラ系３歳１サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,3,8,1,6,4,5                                                       202,7,1,8,3,6,5,4                                                       302,7,1,8,3,6,5,4                                                       402,7,1,8,3,5,6,4                                                       0
RAA20110908201109074710030360000サラ系Ｃ１０・１３組　Ｃ１０１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１０・１３組サラ系Ｃ１０サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,8,1,4,5,9,6,2,10                                                  203,7,8,1,4,9,5,6,2,10                                                  303,7,4,8,1,9,5,6,2,10                                                  407,3,4,9,8,6,1,5,2,10                                                  0
RAA20110924201109234711040780000サラ系Ｃ１１・１４組　Ｃ１１１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１１・１４組サラ系Ｃ１１サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,4,1,3,9,2,6,10,7                                                  205,8,1,3,4,2,6,9,7,10                                                  305,8,3,2,9,1,6,4,10,7                                                  405,8,3,2,1,6,9,4,10,7                                                  0
RAA20110909201109084710040170000サラ系３歳１４組　１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳１４組　１サラ系３歳１サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,4,8,2,6,3,5                                                       201,7,2,8,4,6,3,5                                                       301,7,2,6,8,4,3,5                                                       406,7,1,2,8,4,3,5                                                       0
RAA20110903201109024710020880000サラ系Ｂ４組　Ｂ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ４組　Ｂ４　サラ系Ｂ４組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009093020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,9,3,5,1,4,6,7                                                     202,8,3,5,9,1,4,6,7                                                     302,8,3,5,1,9,6,4,7                                                     408,2,5,3,1,6,9,4,7                                                     0
RAA20110923201109224711030970000サラ系Ｂ５組　Ｂ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ５組　Ｂ５　サラ系Ｂ５組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,1,4,2,5,9,10,6,3                                                  207,8,1,4,9,2,6,5,10,3                                                  307,8,1,9,4,2,6,5,10,3                                                  407,8,9,1,2,4,6,5,10,3                                                  0
RAA20110923201109224711031070000サラ系Ｂ４組特選　Ｂ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ４組特選　Ｂサラ系Ｂ４組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000150000000300000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,9,4,5,1,6,3,2,7                                                  208,10,9,4,5,1,6,3,2,7                                                  308,10,9,4,1,5,3,6,2,7                                                  408,10,9,4,1,5,3,6,2,7                                                  0
RAA20110924201109234711040280000エレーヌメモリアル　１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          エレーヌメモリアル　エレーヌメモエレー0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,8,1,3,7,2,6                                                       204,5,1,8,3,7,2,6                                                       304,3,8,1,5,7,2,6                                                       404,3,1,8,7,2,6,5                                                       0
