RAA20070509200705084804020150000サラ３歳４組　４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        サラ３歳４組　４　　サラ３歳４組サラ３0000  000000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000023000000059000000250000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20070523200705224805010650000サラＣ２１組　Ｃ２１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        サラＣ２１組　Ｃ２１サラＣ２１組サラＣ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000017000000044000000180000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20070511200705104804040970000サラ系Ｃ８組選抜　Ｃ８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        サラ系Ｃ８組選抜　Ｃサラ系Ｃ８組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000019000000049000000200000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909303000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20070505200705044803050880000村山さん結婚記念末永くお幸せに　Ｂ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        村山さん結婚記念末永村山さん結婚村山さ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    000018000000046000000190000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080808101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20070509200705084804020850000サラ系Ｃ１７組選抜　Ｃ１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        サラ系Ｃ１７組選抜　サラ系Ｃ１７サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000019000000049000000200000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20070526200705254805040980000サラＢ１１組　Ｂ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        サラＢ１１組　Ｂ１１サラＢ１１組サラＢ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000018000000046000000190000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010404000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20070503200705024803030360000サラＣ１６組　Ｃ１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        サラＣ１６組　Ｃ１６サラＣ１６組サラＣ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    000017000000044000000180000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010104000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20070525200705244805031270000エメラルドオープン　Ａ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        エメラルドオープン　エメラルドオエメラ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    000150000000390000001650000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070707101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20070505200705044803051180000こいのぼり特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          こいのぼり特別　Ｃ１こいのぼり特こいの0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000210000000540000002300000016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,5,9,2,6,4,10,8,7                                                  201,3,5,9,2,6,4,10,8,7                                                  301,3,5,2,9,6,8,10,4,7                                                  401,3,6,2,5,8,9,4,7,10                                                  0
RAA20070508200705074804010240000サラ３歳５組　５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳５組　５　　サラ３歳５組サラ３0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000590000002500000018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,4,5,2,9,6,3,7,1                                                     208,4,5,2,3,6,1,9,7                                                     308,4,5,2,3,6,1,9,7                                                     408,5,3,4,2,7,6,9,1                                                     0
