RAA20100402201004015001010870000サラ系４歳上　Ｂ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           サラ系４歳上　Ｂ２二サラ系４歳上サラ系0000E 140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000600000001200000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,6,5,9,4,2,(1,7),3                                                   208,6,5,9,4,2,(1,7),3                                                   308,5,6,9,4,7,1,2,3                                                     408,5,4,9,6,(1,7),2,3                                                   0
RAA20100416201004155002030970000サラ系３歳　ＡＢ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               サラ系３歳　ＡＢ　　サラ系３歳　サラ系0000E 120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000800000001600000008000000048000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,1,3,2,7,9,4,6,8                                                     205,1,2,3,7,9,4,6,8                                                     30(1,4),3,9,5,7,2,8,6                                                   401,4,9,5,2,3,8,7,6                                                     0
RAA20100422201004215002050860000サラ系４歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00003000000006000000030000000180000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,12,5,4,3,7,11,6,2,8,9,1                                            2010,12,5,4,(3,7),2,6,11,8,9,1                                          3010,12,4,3,2,7,5,11,6,8,9,1                                            4010,12,4,3,2,5,7,11,8,6,1,9                                            0
RAA20100403201004025001020880000サラ系４歳上　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ１　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808072040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,6,1,8,4,3,5                                                       202,7,6,1,8,4,(3,5)                                                     302,7,1,6,4,8,3,5                                                       402,1,4,8,6,3,5                                                         0
RAA20100407201004065001030950000サラ系３歳　Ｂ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               サラ系３歳　Ｂ　　　サラ系３歳　サラ系0000E 120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000600000001200000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,6,5,7,3,1,9                                                       202,8,6,5,7,3,(1,9)                                                     302,8,6,7,5,3,9,1                                                       402,8,6,7,9,5,3,1                                                       0
RAA20100409201004085001050570000サラ系４歳上　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ１　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,2,8,4,3,(1,6)                                                     205,7,(2,8),4,3,1,6                                                     307,(4,8),5,2,6,3,1                                                     407,8,4,5,6,2,3,1                                                       0
RAA20100415201004145002021160000サラ系４歳上　Ｂ１Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｂ１Ｂサラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　123000002400    00005500000011000000055000000330000002200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,6,8,3,9,7,2,5,1,4,11                                               2010,(6,8),3,9,7,2,1,5,4,11                                             3010,8,6,3,7,(1,9),5,(2,4),11                                           408,10,6,3,(1,5),7,9,2,11,4                                             0
RAA20100416201004155002030570000サラ系４歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00003000000006000000030000000180000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111130100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,4,7,2,6,11,8,3,9,1,5                                               2010,4,7,6,2,11,3,8,9,1,5                                               3010,(6,7),4,2,11,9,3,8,1,5                                             4010,(6,7),(2,11),4,3,9,8,5,1                                           0
RAA20100423201004225002061270000さくらそう賞　Ｂ一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               さくらそう賞　Ｂ一　さくらそう賞さくら0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000600000001200000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,2,9,(1,6),(7,8),5,4                                                 203,2,9,1,6,7,8,5,4                                                     303,9,2,8,7,6,5,1,4                                                     409,3,2,6,8,5,7,(1,4)                                                   0
RAA20100428201004275003010950000黄桜かっぱ特別　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           黄桜かっぱ特別　Ｂ２黄桜かっぱ特黄桜か0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000600000001200000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,10,9,8,11,2,4,12,7,6,3,5                                            201,10,9,8,(2,11),4,12,7,6,5,3                                          301,9,8,10,6,(4,12),11,3,(2,5),7                                        401,9,(6,8),10,12,(3,4),11,2,7,5                                        0
RAA20100415201004145002020460000サラ系４歳上　Ｃ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ３一サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,12,6,10,3,11,1,2,5,7,8                                            204,9,12,6,10,3,11,1,2,5,7,8                                            304,9,12,6,(3,11),1,10,7,2,5,8                                          40(4,9),6,12,3,(1,11),2,7,10,8,5                                        0
RAA20100429201004285003020760000サラ系４歳上　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２二サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00003000000006000000030000000180000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,5,2,3,10,1,7,(4,8),6,9                                             2011,5,2,3,(1,10),7,4,8,6,9                                             30(3,11),1,(2,10),5,(4,7),6,9,8                                         403,11,1,4,2,6,10,(5,7),9,8                                             0
RAA20100422201004215002050960000サラ系４歳上　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ１　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,12,(3,11),2,6,4,8,10,5,1                                            209,12,3,11,2,6,4,8,10,(1,5)                                            3012,11,9,2,6,4,8,5,3,10,1                                              4011,12,9,2,4,8,6,5,10,3,1                                              0
RAA20100416201004155002030870000サラ系４歳上　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ１二サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,7,2,3,9,11,5,6,10                                                 201,8,7,2,3,9,5,11,6,10                                                 301,8,7,3,2,5,11,6,10,9                                                 401,7,8,(2,3),5,11,10,6,9                                               0
RAA20100421201004205002041150000サラ系４歳上　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           サラ系４歳上　Ｂ１　サラ系４歳上サラ系0000E 140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    000070000000140000000700000004200000028000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909203000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(2,5),9,1,3,8,4,6,7                                                   202,5,9,1,3,8,4,6,7                                                     302,5,9,1,6,8,4,3,7                                                     40(2,5),9,1,6,4,8,3,7                                                   0
RAA20100407201004065001030550000サラ系４歳上　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２三サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00003000000006000000030000000180000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,10,11,7,1,4,9,5,6,8,2                                              2012,10,7,11,1,9,4,5,6,8,2                                              30(11,12),10,1,7,5,4,9,6,8,2                                            4011,5,1,10,4,12,7,6,9,8,2                                              0
RAA20100407201004065001031050000アサヒスーパードライＣ　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           アサヒスーパードライアサヒスーパアサヒ0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000700000001400000007000000042000000280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,9,1,7,3,(8,10),6,11,5                                             202,4,9,1,7,3,8,10,6,11,5                                               302,(4,7,9),1,8,3,11,6,10,5                                             402,7,9,1,8,4,(3,11),5,6,10                                             0
RAA20100408201004075001040660000サラ系４歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,1,6,9,3,11,4,12,5,10,2                                            207,8,1,6,3,9,11,4,12,2,5,10                                            301,11,(3,10),2,8,6,7,(4,12),9,5                                        401,3,11,2,(4,10),12,8,6,5,7,9                                          0
RAA20100409201004085001050770000サラ系４歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２一サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,(2,9),12,11,5,8,7,10,6,3                                          201,4,2,9,12,11,5,8,7,10,6,3                                            304,11,12,2,1,9,(8,10),3,7,5,6                                          404,11,12,2,1,10,9,3,8,7,5,6                                            0
RAA20100415201004145002021060000ＤＡＳＨよかわ特別　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           ＤＡＳＨよかわ特別　ＤＡＳＨよかＤＡＳ0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　187000002400    0000800000001600000008000000048000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,5,8,4,3,10,7,1                                                    202,6,5,8,4,3,10,7,1                                                    302,6,8,5,10,3,4,7,1                                                    402,6,8,5,10,3,7,4,1                                                    0
RAA20100421201004205002040450000サラ系４歳上　Ｃ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ３一サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00003000000006000000030000000180000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121130300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,3,1,10,(7,9),6,2,(5,11),8,4                                        2012,3,(1,10),9,6,7,5,(2,11),8,4                                        3012,1,9,10,7,6,3,5,11,4,8                                              401,9,10,12,6,7,3,5,8,4,11                                              0
RAA20100415201004145002020660000サラ系４歳上　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２二サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,11,6,2,10,3,9,5,4,8,7                                               201,11,2,6,3,4,10,5,9,8,7                                               301,11,2,4,6,3,5,9,8,10,7                                               401,11,2,4,3,8,6,5,9,7,10                                               0
RAA20101210201004145002020960000六甲山特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               六甲山特別（中央交流六甲山特別（六甲山0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000800000001600000008000000048000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,7,8,(1,6),5,4                                                     202,3,7,8,1,6,5,4                                                       306,2,3,7,(1,8),5,4                                                     406,2,3,1,(5,7),8,4                                                     0
