RAA20101220201012183611040210000Ｃ２六組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２六組　　　　　　Ｃ２六組　　Ｃ２六0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010104040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,10,1,9,3,4,2,6,7                                                  205,8,1,10,3,2,9,4,7,6                                                  305,1,8,10,3,2,7,9,4,6                                                  401,5,3,8,7,2,10,6,9,4                                                  0
RAA20101227201012253612010510000Ｃ２十四組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２十四組　　　　　Ｃ２十四組　Ｃ２十0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    000010000000020000000100000000700000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010504000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,3,7),9,10,2,8,4,6,5                                                201,3,7,2,9,10,8,4,6,5                                                  301,3,7,10,2,9,8,6,4,5                                                  403,1,10,8,7,2,9,6,4,5                                                  0
RAA20101213201012123611020720000Ｂ２六組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｂ２六組　　　　　　Ｂ２六組　　Ｂ２六0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000190000000380000001900000014000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,9,3,4,8,6,7,5                                                     201,2,9,3,4,6,8,5,7                                                     302,9,3,4,1,6,8,(5,7)                                                   409,2,3,4,6,8,1,7,5                                                     0
RAA20101228201012273612030940000師走賞　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          師走賞　Ｂ２　　　　師走賞　Ｂ２師走賞0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000300000000600000003000000021000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,5,(1,2,4),3,8,6,10,9                                                207,5,4,2,1,3,8,6,10,9                                                  305,7,8,4,3,(1,6),10,2,9                                                405,7,8,3,6,4,10,1,2,9                                                  0
RAA20101213201012123611020320000Ｃ２十組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２十組　　　　　　Ｃ２十組　　Ｃ２十0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,10,6,2,4,7,5,1,8                                                  203,9,10,6,2,7,5,4,1,8                                                  303,9,10,7,6,5,4,1,2,8                                                  403,(7,9),10,6,5,4,1,2,8                                                0
RAA20101227201012263612020520000Ｃ２九組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２九組　　　　　　Ｃ２九組　　Ｃ２九0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,9,3,6,4,10,1,5,7                                                  202,8,9,3,6,4,10,7,1,5                                                  302,8,9,6,3,10,4,7,5,1                                                  402,8,7,6,9,10,5,(3,4),1                                                0
RAA20101207201012043610040110000Ｃ２七組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２七組　　　　　　Ｃ２七組　　Ｃ２七0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010104040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,3,7,9,8,1,4,10,6                                                  202,5,3,7,9,1,4,8,6,10                                                  302,5,3,7,9,1,4,8,6,10                                                  402,5,7,3,9,1,4,8,6,10                                                  0
RAA20101213201012113611010210000Ｃ２十四組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２十四組　　　　　Ｃ２十四組　Ｃ２十0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,6,9,4,(2,8),1,10,5,3                                                206,7,9,2,4,8,10,1,3,5                                                  306,7,4,8,2,9,1,10,3,5                                                  40(4,6),7,8,2,1,3,9,10,5                                                0
RAA20101213201012113611011010000農と輝の大地八幡平市レースＢ１二組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     農と輝の大地八幡平市農と輝の大地農と輝0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000270000000540000002700000019000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010104030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,1,7,6,5,(4,10),9,2,3                                                208,1,7,6,5,4,10,9,2,3                                                  308,1,7,6,(4,5,10),9,3,2                                                407,(1,6),8,5,10,4,3,9,2                                                0
RAA20101227201012253612010410000Ｃ２十五組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２十五組　　　　　Ｃ２十五組　Ｃ２十0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010105040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,8,10,5,1,7,3,9,6                                                  202,4,8,5,3,10,1,7,6,9                                                  302,8,4,5,10,3,1,7,6,9                                                  402,5,8,10,4,3,1,6,7,9                                                  0
RAA20101227201012253612010910000海と高原のまちひろのレースＢ１二組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     海と高原のまちひろの海と高原のま海と高0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000270000000540000002700000019000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009085040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,3,7,4,9,2,6                                                      208,10,3,7,9,4,2,6                                                      308,9,3,10,(4,7),2,6                                                    408,9,(3,7),(4,10),2,6                                                  0
RAA20101220201012193611051020000白嶺賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                       白嶺賞　　　　　　　白嶺賞　　　白嶺賞0000E 000000000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    0001500000003000000015000000105000000450000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,(7,11),4,3,9,1,5,10,6,8                                             202,7,11,3,4,1,9,5,10,6,8                                               302,(4,7,11),9,3,1,5,10,6,8                                             402,7,9,1,3,(4,5),11,10,6,8                                             0
RAA20110101201012313612050980000桐花賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKA SHO                                                                                                                                                                                                                                                                                                                                                                桐花賞　　　　　　　桐花賞　　　桐花賞0000D 000000000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　200000002400    0005000000011500000065000000450000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212125040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,12,5,9,1,11,7,4,3,8,2                                            206,10,12,9,5,1,11,7,3,4,8,2                                            30(9,11),12,7,5,6,4,10,3,1,8,2                                          409,12,11,7,6,3,4,8,5,10,1,2                                            0
RAA20101227201012263612020120000Ｂ２六組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｂ２六組　　　　　　Ｂ２六組　　Ｂ２六0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000190000000380000001900000014000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707075040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,1,4,2,7,5,3                                                         206,1,4,2,7,5,3                                                         306,1,4,2,5,7,3                                                         404,1,6,2,5,3,7                                                         0
