RAA20100909201009084709030860000郡上高原賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          郡上高原賞（中央交流郡上高原賞（郡上高0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,10,4,8,9,1,2,7,6                                                  203,5,10,4,8,9,2,1,7,6                                                  303,5,4,10,8,2,1,9,6,7                                                  403,5,4,2,8,10,1,6,9,7                                                  0
RAA20100909201009084709030960000鈴蘭特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          鈴蘭特別（中央交流）鈴蘭特別（中鈴蘭特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,8,6,7,2,9,1,4                                                     203,5,8,6,7,2,9,1,4                                                     303,5,8,6,1,2,9,7,4                                                     403,5,6,1,9,8,2,7,4                                                     0
RAA20100910201009094709041070000蛭ヶ野特別　Ｃ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          蛭ヶ野特別　Ｃ１２　蛭ヶ野特別　蛭ヶ野0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002600000014000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,4,8,3,10,7,9,1,2                                                  205,6,4,3,10,8,7,9,1,2                                                  305,6,4,10,3,9,7,8,1,2                                                  405,6,3,10,4,7,9,8,1,2                                                  0
RAA20100922201009214710010350000サラ系３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳３組　３　サラ系３歳３サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000580000003000000017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,2,6,1,10,8,5,3,9                                                  204,7,2,6,1,8,10,5,3,9                                                  304,7,6,10,2,1,8,5,3,9                                                  404,7,2,10,1,8,5,6,3,9                                                  0
RAA20100923201009224710020360000サラ系３歳７組　７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳７組　７　サラ系３歳７サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000580000003000000017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,9,8,10,4,5,1,2,7                                                  203,6,9,8,10,4,5,2,1,7                                                  303,6,9,8,10,4,5,2,1,7                                                  403,6,9,10,4,5,8,2,7,1                                                  0
RAA20100925201009244710040380000サラ系３歳１０組　１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳１０組　１サラ系３歳１サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000580000003000000017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908082030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,9,1,5,4,8,6                                                       202,7,9,1,5,6,4,8                                                       302,7,9,1,5,6,4,8                                                       402,5,1,9,6,7,4,8                                                       0
RAA20100908201009074709020650000サラ系Ｃ１７組　Ｃ１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１７組　Ｃ１サラ系Ｃ１７サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000400000002100000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,9,4,7,2,3,10,1,8                                                  205,6,9,7,4,3,2,10,1,8                                                  305,7,6,9,3,2,10,4,1,8                                                  405,7,2,3,10,6,9,4,1,8                                                  0
RAA20100909201009084709030760000サラ系３歳１組特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          サラ系３歳１組特別　サラ系３歳１サラ系0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000380000000950000005000000027000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,5,8,3,6,1,2,4,7                                                     209,5,8,3,6,1,2,4,7                                                     309,5,8,3,6,1,2,7,4                                                     405,9,8,1,6,3,2,7,4                                                     0
RAA20100922201009214710010650000サラ系Ｃ１５組　Ｃ１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１５組　Ｃ１サラ系Ｃ１５サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000400000002100000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,6,3,9,2,1,5,4                                                     207,8,3,1,6,2,9,4,5                                                     307,8,3,1,2,9,6,5,4                                                     407,3,1,8,9,2,6,5,4                                                     0
RAA20100924201009234710030770000ぎふ清流大会ミナモＣ　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ぎふ清流大会ミナモＣぎふ清流大会ぎふ清0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000380000000950000005000000027000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,7,6,9,1,2,8,3                                                     204,5,7,1,9,2,6,8,3                                                     307,5,9,8,1,2,4,6,3                                                     409,7,8,5,1,2,4,3,6                                                     0
RAA20100925201009244710040480000新馬Ｃｈ（中央認定）　５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   新馬Ｃｈ（中央認定）新馬Ｃｈ（中新馬Ｃ0000  110000000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　080000002400    0001600000004000000016000000096000000640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908082030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000307,6,1,9,4,5,8,2                                                       407,6,4,9,1,5,2,8                                                       00                                                                      00                                                                      0
RAA20100922201009214710010950000サラ系３歳２組特選　２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳２組特選　サラ系３歳２サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000290000000730000003800000021000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,10,4,3,7,8,2,9,5                                                  201,6,10,3,7,4,8,2,9,5                                                  301,6,10,3,8,7,4,9,2,5                                                  401,6,8,10,3,9,2,7,5,4                                                  0
RAA20100924201009234710030870000未勝利馬リバイバル（中央認定）　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            未勝利馬リバイバル（未勝利馬リバ未勝利0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001000000002500000010000000060000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,9,5,10,2,6,4,1,8                                                  203,7,5,9,2,10,1,6,4,8                                                  302,3,7,9,6,5,1,4,8,10                                                  402,3,6,7,1,9,5,8,10                                                    0
RAA20100911201009104709050580000ＧｏＧｏ！！にいさん　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ＧｏＧｏ！！にいさんＧｏＧｏ！！ＧｏＧ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000400000002100000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,8,9,5,6,7,2,3,1                                                     204,8,9,6,5,7,1,2,3                                                     304,8,6,9,7,1,5,2,3                                                     404,6,7,8,9,5,1,2,3                                                     0
RAA20100925201009244710041180000すすき特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          すすき特別　Ｃ１　　すすき特別　すすき0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000220000000550000002900000016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,3,4,5,2,6,9,1,10,7                                                  208,3,4,5,2,6,9,7,1,10                                                  308,5,3,7,4,1,9,2,6,10                                                  408,7,5,4,3,1,9,6,2,10                                                  0
RAA20100908201009074709020350000サラ系３歳１０組　１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳１０組　１サラ系３歳１サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000580000003000000017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,4,2,5,7,3,1,8                                                     206,9,4,2,5,7,3,1,8                                                     306,9,4,2,5,7,3,1,8                                                     406,4,5,9,2,3,7,8,1                                                     0
RAA20100907201009064709010840000サラ系Ａ５・Ｂ２組特選　Ａ５Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ａ５・Ｂ２組特サラ系Ａ５・サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000450000002400000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,6,9,2,3,4,7,10,5,1                                                  208,6,9,2,3,7,10,4,5,1                                                  308,6,9,2,7,3,10,4,1,5                                                  406,9,8,2,3,7,10,4,1,5                                                  0
RAA20100922201009214710011150000ききょう特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ききょう特別　Ｂ１　ききょう特別ききょ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000290000000730000003800000021000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,9,4,7,8,3,10,2,6                                                  201,5,9,4,7,3,8,2,10,6                                                  301,5,9,4,7,3,2,10,8,6                                                  401,5,4,3,9,7,2,10,8,6                                                  0
