順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
38,フレンチデピュティ, 11-  9- 12-106/138,8.0%,14.5%,23.2%,28,100,79.7,7.2着,7.2人気,57.2,363,435,0,0.0%,6.5%,8.7%,115.64,12.85,56.03
39,エンパイアメーカー, 11-  5- 15-109/140,7.9%,11.4%,22.1%,43,59,74.3,8.0着,7.2人気,62.5,559,269,0,0.0%,3.6%,10.7%,115.65,12.85,56.03
40,アグネスデジタル, 10- 14-  9- 96/129,7.8%,18.6%,25.6%,113,87,69.5,7.4着,6.8人気,51.5,1463,342,0,0.0%,10.9%,7.0%,115.56,12.84,56.08
41,ハーツクライ, 10- 10- 13-106/139,7.2%,14.4%,23.7%,55,126,68.8,7.1着,6.9人気,50.8,774,532,0,0.0%,7.2%,9.4%,115.70,12.86,56.01
42,ジェニュイン, 10- 10- 11- 63/ 94,10.6%,21.3%,33.0%,38,131,109.5,6.8着,7.8人気,72.4,359,398,0,0.0%,10.6%,11.7%,115.83,12.87,55.94
43,エルハーブ, 10-  7- 17- 74/108,9.3%,15.7%,31.5%,42,57,82.3,5.9着,6.2人気,41.2,458,188,0,0.0%,6.5%,15.7%,114.93,12.77,56.38
44,オペラハウス, 10-  6-  9-107/132,7.6%,12.1%,18.9%,207,91,92.9,7.4着,7.8人気,74.3,2742,484,0,0.0%,4.5%,6.8%,116.51,12.95,55.62
45,ヘクタープロテクター, 10-  4-  9- 59/ 82,12.2%,17.1%,28.0%,51,52,82.7,7.2着,5.9人気,47.3,421,197,0,0.0%,4.9%,11.0%,116.10,12.90,55.81
46,クリスタルグリツターズ,  9- 14-  7- 77/107,8.4%,21.5%,28.0%,72,64,79.9,6.7着,6.9人気,45.9,866,231,0,0.0%,13.1%,6.5%,115.31,12.81,56.20
47,スキャン,  9- 12-  3- 89/113,8.0%,18.6%,21.2%,58,68,91.8,7.3着,7.4人気,63.9,730,323,0,0.0%,10.6%,2.7%,116.37,12.93,55.69
48,タニノギムレット,  9- 11- 10- 89/119,7.6%,16.8%,25.2%,81,124,73.0,7.1着,7.0人気,56.6,1072,493,0,0.0%,9.2%,8.4%,115.83,12.87,55.94
49,リードワンダー,  9- 10-  7- 55/ 81,11.1%,23.5%,32.1%,126,92,84.4,6.1着,6.3人気,35.4,1136,288,0,0.0%,12.3%,8.6%,116.71,12.97,55.52
50,ディープインパクト,  9-  8- 11- 79/107,8.4%,15.9%,26.2%,59,57,60.4,6.5着,5.3人気,23.6,707,220,0,0.0%,7.5%,10.3%,115.11,12.79,56.29
51,ジャングルポケット,  9-  8- 10-108/135,6.7%,12.6%,20.0%,25,55,76.6,7.6着,7.8人気,92.1,383,279,0,0.0%,5.9%,7.4%,116.09,12.90,55.82
52,ダンサーズイメージ,  9-  8-  8- 52/ 77,11.7%,22.1%,32.5%,87,72,90.9,5.6着,5.6人気,22.2,749,224,0,0.0%,10.4%,10.4%,115.90,12.88,55.91
53,エルコンドルパサー,  9-  6-  6- 52/ 73,12.3%,20.5%,28.8%,42,111,86.9,6.0着,5.8人気,44.4,346,388,0,0.0%,8.2%,8.2%,115.50,12.83,56.10
54,ダイナガリバー,  8- 10-  4- 78/100,8.0%,18.0%,22.0%,25,46,75.3,7.4着,7.2人気,61.2,322,210,0,0.0%,10.0%,4.0%,117.25,13.03,55.27
55,サツカーボーイ,  8-  8- 10- 80/106,7.5%,15.1%,24.5%,99,73,85.9,6.5着,7.4人気,71.3,1318,301,0,0.0%,7.5%,9.4%,116.37,12.93,55.69
56,メジロマックイーン,  8-  6-  7- 82/103,7.8%,13.6%,20.4%,77,54,77.8,7.6着,7.2人気,54.8,1002,267,0,0.0%,5.8%,6.8%,116.43,12.94,55.66
57,サクラユタカオー,  8-  5-  6- 67/ 86,9.3%,15.1%,22.1%,102,66,85.4,7.1着,6.3人気,35.7,1098,302,0,0.0%,5.8%,7.0%,116.47,12.94,55.64
58,ターゴワイス,  8-  5-  3- 37/ 53,15.1%,24.5%,30.2%,144,82,118.2,6.6着,5.7人気,24.6,960,272,0,0.0%,9.4%,5.7%,117.00,13.00,55.39
59,モガンボ,  8-  3-  5- 37/ 53,15.1%,20.8%,30.2%,97,65,124.1,5.9着,6.4人気,37.7,645,217,0,0.0%,5.7%,9.4%,115.18,12.80,56.26
60,キンググローリアス,  7- 16- 13-112/148,4.7%,15.5%,24.3%,60,79,54.6,7.1着,7.1人気,53.2,1271,327,0,0.0%,10.8%,8.8%,116.28,12.92,55.73
61,シンボリルドルフ,  7- 11-  4- 58/ 80,8.8%,22.5%,27.5%,43,75,77.3,6.8着,6.5人気,41.2,491,273,0,0.0%,13.8%,5.0%,116.81,12.98,55.47
62,ダイワメジャー,  7- 10-  8- 70/ 95,7.4%,17.9%,26.3%,72,64,61.8,7.4着,6.5人気,51.7,979,243,0,0.0%,10.5%,8.4%,115.58,12.84,56.06
63,タイテエム,  7- 10-  1- 45/ 63,11.1%,27.0%,28.6%,71,79,98.6,6.0着,6.1人気,21.0,647,277,0,0.0%,15.9%,1.6%,116.24,12.92,55.75
64,トウシヨウボーイ,  7-  9-  4- 60/ 80,8.8%,20.0%,25.0%,130,60,56.6,6.9着,5.8人気,20.9,1487,240,0,0.0%,11.3%,5.0%,116.48,12.94,55.63
65,アジュディケーティング,  7-  6- 10- 74/ 97,7.2%,13.4%,23.7%,107,116,71.1,7.4着,8.0人気,70.1,1491,492,0,0.0%,6.2%,10.3%,115.78,12.86,55.97
66,ナイスダンサー,  7-  2-  4- 58/ 71,9.9%,12.7%,18.3%,55,49,85.0,6.9着,6.5人気,23.5,564,292,0,0.0%,2.8%,5.6%,116.14,12.90,55.80
67,クリミナルタイプ,  7-  2-  0- 31/ 40,17.5%,22.5%,22.5%,276,79,212.3,6.5着,7.7人気,48.2,1581,352,0,0.0%,5.0%,0.0%,116.00,12.89,55.86
68,ニチドウアラシ,  7-  1-  5- 45/ 58,12.1%,13.8%,22.4%,85,74,110.4,6.7着,6.6人気,25.2,709,334,0,0.0%,1.7%,8.6%,116.70,12.97,55.53
69,エンドスウィープ,  7-  0-  3- 22/ 32,21.9%,21.9%,31.3%,152,69,172.5,6.4着,6.4人気,59.8,699,222,0,0.0%,0.0%,9.4%,114.36,12.71,56.66
70,アンバーシヤダイ,  6- 15-  7- 49/ 77,7.8%,27.3%,36.4%,40,96,60.4,6.2着,6.2人気,45.3,513,265,0,0.0%,19.5%,9.1%,116.61,12.96,55.57
71,マーベラスサンデー,  6- 14- 11-128/159,3.8%,12.6%,19.5%,30,50,48.6,7.7着,8.0人気,81.4,805,259,0,0.0%,8.8%,6.9%,115.72,12.86,56.00
72,ミルジヨージ,  6- 13- 11- 90/120,5.0%,15.8%,25.0%,30,64,50.1,6.3着,6.8人気,31.5,617,256,0,0.0%,10.8%,9.2%,116.61,12.96,55.57
73,サクラローレル,  6- 12-  9- 67/ 94,6.4%,19.1%,28.7%,63,117,78.7,6.4着,7.5人気,55.2,993,410,0,0.0%,12.8%,9.6%,115.62,12.85,56.05
74,カリズマティック,  6-  9-  5- 59/ 79,7.6%,19.0%,25.3%,54,84,88.1,6.6着,7.4人気,68.3,720,333,0,0.0%,11.4%,6.3%,114.95,12.77,56.37
75,メジロライアン,  6-  8- 10- 81/105,5.7%,13.3%,22.9%,84,81,64.5,7.4着,7.4人気,62.5,1480,357,0,0.0%,7.6%,9.5%,116.11,12.90,55.81
76,ノーザリー,  6-  8-  9- 41/ 64,9.4%,21.9%,35.9%,31,73,58.4,5.7着,5.8人気,24.4,333,203,0,0.0%,12.5%,14.1%,116.07,12.90,55.83
77,ステイゴールド,  6-  5-  7-115/133,4.5%,8.3%,13.5%,51,52,65.5,8.1着,8.0人気,73.9,1133,387,0,0.0%,3.8%,5.3%,116.06,12.90,55.83
78,サンライズペガサス,  6-  5-  7- 30/ 48,12.5%,22.9%,37.5%,157,104,134.6,6.1着,7.0人気,45.7,1257,278,0,0.0%,10.4%,14.6%,114.69,12.74,56.50
79,ワツスルタツチ,  6-  5-  6- 32/ 49,12.2%,22.4%,34.7%,77,129,135.6,5.9着,7.2人気,36.0,637,373,0,0.0%,10.2%,12.2%,116.05,12.89,55.84
80,フサイチコンコルド,  6-  4-  6- 87/103,5.8%,9.7%,15.5%,68,44,82.2,8.3着,8.3人気,75.1,1177,286,0,0.0%,3.9%,5.8%,116.03,12.89,55.85
81,ロイヤルスキー,  6-  4-  6- 45/ 61,9.8%,16.4%,26.2%,95,55,83.9,6.6着,6.8人気,28.2,968,212,0,0.0%,6.6%,9.8%,116.72,12.97,55.52
82,スイフトスワロー,  6-  4-  5- 25/ 40,15.0%,25.0%,37.5%,67,108,117.6,6.3着,6.9人気,31.4,448,289,0,0.0%,10.0%,12.5%,117.01,13.00,55.38
83,ナグルスキー,  6-  4-  3- 45/ 58,10.3%,17.2%,22.4%,115,54,127.7,6.8着,7.3人気,48.1,1112,242,0,0.0%,6.9%,5.2%,116.45,12.94,55.65
84,サンダーガルチ,  6-  4-  2- 31/ 43,14.0%,23.3%,27.9%,397,110,122.0,6.4着,7.0人気,56.4,2847,398,0,0.0%,9.3%,4.7%,115.42,12.82,56.14
85,ゴライタス,  6-  2-  4- 21/ 33,18.2%,24.2%,36.4%,109,99,180.4,5.9着,6.6人気,36.1,602,272,0,0.0%,6.1%,12.1%,116.24,12.92,55.74
86,ノーザンアンサー,  6-  2-  2- 31/ 41,14.6%,19.5%,24.4%,79,70,106.2,6.4着,6.2人気,23.6,545,289,0,0.0%,4.9%,4.9%,116.15,12.91,55.79
87,ノーリユート,  6-  1-  2- 43/ 52,11.5%,13.5%,17.3%,77,39,107.5,6.7着,6.4人気,30.4,670,230,0,0.0%,1.9%,3.8%,115.82,12.87,55.95
88,バブルガムフェロー,  5- 15- 10-100/130,3.8%,15.4%,23.1%,65,90,39.1,7.6着,7.0人気,57.6,1694,390,0,0.0%,11.5%,7.7%,116.15,12.91,55.79
89,アサティス,  5- 12-  6- 83/106,4.7%,16.0%,21.7%,29,59,56.1,7.7着,8.2人気,68.5,632,273,0,0.0%,11.3%,5.7%,115.72,12.86,56.00
90,ラツキーソブリン,  5-  7- 10- 63/ 85,5.9%,14.1%,25.9%,33,67,53.1,6.7着,6.3人気,24.9,568,260,0,0.0%,8.2%,11.8%,116.66,12.96,55.55
91,リイフオー,  5-  6-  9- 35/ 55,9.1%,20.0%,36.4%,40,79,67.6,6.3着,5.8人気,19.8,440,231,0,0.0%,10.9%,16.4%,116.22,12.91,55.76
92,ノーアテンシヨン,  5-  6-  5- 57/ 73,6.8%,15.1%,21.9%,32,70,60.5,6.4着,6.2人気,34.4,478,319,0,0.0%,8.2%,6.8%,117.51,13.06,55.14
93,デヒア,  5-  6-  2- 34/ 47,10.6%,23.4%,27.7%,403,136,125.4,7.1着,7.6人気,55.5,3790,495,0,0.0%,12.8%,4.3%,115.20,12.80,56.25
94,シニスターミニスター,  5-  6-  2- 29/ 42,11.9%,26.2%,31.0%,112,93,143.0,7.0着,6.6人気,45.2,946,302,0,0.0%,14.3%,4.8%,115.40,12.82,56.15
95,ニホンピロウイナー,  5-  5-  6- 41/ 57,8.8%,17.5%,28.1%,216,107,119.0,6.9着,7.7人気,65.6,2468,384,0,0.0%,8.8%,10.5%,116.50,12.94,55.62
96,アラナス,  5-  5-  4- 27/ 41,12.2%,24.4%,34.1%,29,70,95.7,5.8着,6.5人気,29.8,240,205,0,0.0%,12.2%,9.8%,116.17,12.91,55.78
97,ヨハネスブルグ,  5-  5-  3- 12/ 25,20.0%,40.0%,52.0%,344,228,169.6,5.7着,7.2人気,52.7,1724,440,0,0.0%,20.0%,12.0%,114.84,12.76,56.42
98,ウォーエンブレム,  5-  5-  2- 22/ 34,14.7%,29.4%,35.3%,103,72,71.4,6.7着,5.4人気,28.2,702,205,0,0.0%,14.7%,5.9%,114.25,12.69,56.72
99,ハイセイコー,  5-  4-  8- 62/ 79,6.3%,11.4%,21.5%,33,49,52.8,6.5着,6.7人気,23.8,526,230,0,0.0%,5.1%,10.1%,116.12,12.90,55.81
100,リンドシェーバー,  5-  4-  5- 49/ 63,7.9%,14.3%,22.2%,46,96,107.6,7.5着,7.5人気,54.9,584,432,0,0.0%,6.3%,7.9%,116.74,12.97,55.51
101,オルフェーヴル,  5-  4-  1- 11/ 21,23.8%,42.9%,47.6%,111,155,144.4,5.0着,4.9人気,27.2,468,327,0,0.0%,19.0%,4.8%,115.81,12.87,55.95
102,アレミロード,  5-  3-  8- 35/ 51,9.8%,15.7%,31.4%,36,92,90.0,6.6着,7.5人気,46.5,372,313,0,0.0%,5.9%,15.7%,115.91,12.88,55.91
103,コインドシルバー,  5-  3-  7- 60/ 75,6.7%,10.7%,20.0%,94,65,75.5,7.2着,7.4人気,41.4,1416,350,0,0.0%,4.0%,9.3%,116.81,12.98,55.47
104,ゴールデンフェザント,  5-  3-  3- 58/ 69,7.2%,11.6%,15.9%,70,39,79.3,7.3着,7.6人気,56.3,970,250,0,0.0%,4.3%,4.3%,115.77,12.86,55.98
105,ギヤロツプダイナ,  5-  3-  3- 45/ 56,8.9%,14.3%,19.6%,25,39,86.5,6.9着,7.1人気,35.4,290,203,0,0.0%,5.4%,5.4%,117.15,13.02,55.31
106,ホスピタリテイ,  5-  2-  7- 37/ 51,9.8%,13.7%,27.5%,55,58,90.2,6.3着,6.0人気,22.2,570,214,0,0.0%,3.9%,13.7%,116.51,12.95,55.62
107,シルバーチャーム,  5-  2-  3- 39/ 49,10.2%,14.3%,20.4%,89,78,165.1,7.3着,8.4人気,73.9,874,385,0,0.0%,4.1%,6.1%,116.27,12.92,55.73
108,バトルプラン,  5-  2-  1- 33/ 41,12.2%,17.1%,19.5%,426,94,134.4,8.4着,8.2人気,78.6,3496,486,0,0.0%,4.9%,2.4%,115.93,12.88,55.90
109,Kingmambo,  5-  1-  3- 17/ 26,19.2%,23.1%,34.6%,68,66,119.0,5.6着,5.3人気,37.9,354,192,0,0.0%,3.8%,11.5%,114.59,12.73,56.55
110,グルームダンサー,  5-  1-  1- 29/ 36,13.9%,16.7%,19.4%,51,40,154.9,7.8着,7.9人気,63.2,370,209,0,0.0%,2.8%,2.8%,116.65,12.96,55.55
111,ディープスカイ,  5-  0-  3- 48/ 56,8.9%,8.9%,14.3%,227,63,140.4,8.5着,8.9人気,90.3,2548,441,0,0.0%,0.0%,5.4%,115.43,12.83,56.14
112,リーチ,  5-  0-  0- 11/ 16,31.3%,31.3%,31.3%,204,61,351.6,5.8着,6.7人気,38.7,654,196,0,0.0%,0.0%,0.0%,115.65,12.85,56.03
113,アスワン,  4- 11-  6- 52/ 73,5.5%,20.5%,28.8%,61,76,54.8,6.5着,6.9人気,41.8,1120,268,0,0.0%,15.1%,8.2%,116.18,12.91,55.78
114,プリサイスエンド,  4-  7-  3- 65/ 79,5.1%,13.9%,17.7%,17,82,67.1,8.3着,8.7人気,94.3,342,463,0,0.0%,8.9%,3.8%,115.70,12.86,56.01
115,ブラックタイアフェアー,  4-  6-  3- 49/ 62,6.5%,16.1%,21.0%,56,73,94.1,7.4着,8.1人気,60.6,870,352,0,0.0%,9.7%,4.8%,116.54,12.95,55.60
116,モーニングフローリツク,  4-  5-  6- 34/ 49,8.2%,18.4%,30.6%,38,103,77.5,6.1着,6.6人気,31.2,468,338,0,0.0%,10.2%,12.2%,116.22,12.91,55.76
117,サンシー,  4-  5-  5- 21/ 35,11.4%,25.7%,40.0%,182,100,94.2,5.7着,6.6人気,29.0,1600,250,0,0.0%,14.3%,14.3%,116.39,12.93,55.68
118,ブラックタイド,  4-  4-  3- 49/ 60,6.7%,13.3%,18.3%,63,41,96.2,8.3着,8.6人気,120.8,952,227,0,0.0%,6.7%,5.0%,115.69,12.85,56.01
119,グリーンマウント,  4-  4-  3- 16/ 27,14.8%,29.6%,40.7%,322,120,99.9,6.0着,6.2人気,36.4,2180,295,0,0.0%,14.8%,11.1%,116.17,12.91,55.78
120,タイキシャトル,  4-  4-  0-118/126,3.2%,6.3%,6.3%,28,39,79.6,9.7着,9.7人気,102.2,902,621,0,0.0%,3.2%,0.0%,116.46,12.94,55.64
121,ピユウターグレイ,  4-  3-  5- 19/ 31,12.9%,22.6%,38.7%,50,109,88.3,5.6着,6.0人気,20.4,395,282,0,0.0%,9.7%,16.1%,117.03,13.00,55.37
122,エブロス,  4-  3-  4- 35/ 46,8.7%,15.2%,23.9%,157,142,112.7,6.5着,7.4人気,61.8,1812,595,0,0.0%,6.5%,8.7%,116.78,12.98,55.49
123,アドマイヤボス,  4-  3-  3- 23/ 33,12.1%,21.2%,30.3%,86,97,155.9,6.9着,7.6人気,87.9,718,323,0,0.0%,9.1%,9.1%,115.72,12.86,56.00
124,マジツクミラー,  4-  3-  3- 12/ 22,18.2%,31.8%,45.5%,163,112,130.4,5.0着,5.4人気,21.6,898,247,0,0.0%,13.6%,13.6%,114.63,12.74,56.53
125,ラデイガ,  4-  2-  2- 14/ 22,18.2%,27.3%,36.4%,177,65,110.2,6.5着,6.0人気,25.6,978,206,0,0.0%,9.1%,9.1%,116.54,12.95,55.60
126,スキャターザゴールド,  4-  1-  7- 23/ 35,11.4%,14.3%,34.3%,327,135,139.9,6.2着,8.0人気,84.2,2862,396,0,0.0%,2.9%,20.0%,115.43,12.83,56.14
127,テイエムオペラオー,  4-  1-  3- 48/ 56,7.1%,8.9%,14.3%,93,70,156.2,8.6着,9.4人気,123.3,1312,492,0,0.0%,1.8%,5.4%,116.30,12.92,55.72
128,ストリートセンス,  4-  1-  1- 13/ 19,21.1%,26.3%,31.6%,57,246,148.9,7.4着,6.1人気,53.2,272,780,0,0.0%,5.3%,5.3%,115.18,12.80,56.26
129,ランドヒリュウ,  4-  1-  1- 15/ 21,19.0%,23.8%,28.6%,332,104,198.9,7.0着,6.8人気,43.0,1748,367,0,0.0%,4.8%,4.8%,116.43,12.94,55.65
130,ランズダーン,  4-  1-  0- 16/ 21,19.0%,23.8%,23.8%,119,47,170.5,6.0着,6.1人気,21.7,625,200,0,0.0%,4.8%,0.0%,116.02,12.89,55.85
131,サクラサニーオー,  4-  0-  1-  4/  9,44.4%,44.4%,55.6%,310,145,350.5,4.3着,5.2人気,16.9,698,262,0,0.0%,0.0%,11.1%,116.21,12.91,55.76
132,サーペンフロ,  3- 11-  7- 53/ 74,4.1%,18.9%,28.4%,15,62,34.0,6.3着,6.2人気,30.5,383,230,0,0.0%,14.9%,9.5%,115.98,12.89,55.87
133,ジョリーズヘイロー,  3- 10-  6- 67/ 86,3.5%,15.1%,22.1%,21,83,46.0,7.6着,7.8人気,71.3,610,378,0,0.0%,11.6%,7.0%,115.96,12.88,55.88
134,ロージズインメイ,  3-  9- 11- 79/102,2.9%,11.8%,22.5%,76,78,43.0,7.8着,8.2人気,72.4,2610,350,0,0.0%,8.8%,10.8%,115.45,12.83,56.13
135,グラスワンダー,  3-  9-  6- 81/ 99,3.0%,12.1%,18.2%,24,75,57.1,8.9着,8.3人気,82.6,797,413,0,0.0%,9.1%,6.1%,117.33,13.04,55.23
136,ヴアイスリーガル,  3-  8-  4- 28/ 43,7.0%,25.6%,34.9%,69,99,59.6,5.6着,6.7人気,22.7,997,284,0,0.0%,18.6%,9.3%,116.16,12.91,55.79
137,イブンベイ,  3-  6-  5- 20/ 34,8.8%,26.5%,41.2%,24,77,59.5,5.9着,6.0人気,42.7,277,189,0,0.0%,17.6%,14.7%,115.30,12.81,56.20
138,イルドブルボン,  3-  6-  4- 36/ 49,6.1%,18.4%,26.5%,42,78,57.5,7.0着,6.6人気,41.5,700,321,0,0.0%,12.2%,8.2%,116.43,12.94,55.66
139,ワークフォース,  3-  6-  4- 50/ 63,4.8%,14.3%,20.6%,117,77,62.2,8.0着,8.1人気,97.9,2470,375,0,0.0%,9.5%,6.3%,116.00,12.89,55.86
140,キャプテンスティーヴ,  3-  5-  1- 38/ 47,6.4%,17.0%,19.1%,39,115,78.7,7.5着,7.7人気,76.9,620,606,0,0.0%,10.6%,2.1%,116.12,12.90,55.81
141,Woodman,  3-  4-  5- 36/ 48,6.3%,14.6%,25.0%,37,38,50.2,7.1着,6.8人気,41.3,607,154,0,0.0%,8.3%,10.4%,116.10,12.90,55.82
