順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
261,ダンシングブレーヴ,  0-  2-  1-  9/ 12,0.0%,16.7%,25.0%,0,65,0.0,7.1着,9.3人気,61.7,,263,0,0.0%,16.7%,8.3%,114.81,12.76,56.44
262,デヒア,  0-  2-  1-  7/ 10,0.0%,20.0%,30.0%,0,91,0.0,7.8着,7.4人気,79.2,,303,0,0.0%,20.0%,10.0%,113.15,12.57,57.27
263,ヴアイスリーガル,  0-  2-  1-  3/  6,0.0%,33.3%,50.0%,0,95,0.0,7.2着,6.3人気,18.7,,190,0,0.0%,33.3%,16.7%,113.58,12.62,57.05
264,クリミナルタイプ,  0-  2-  0-  5/  7,0.0%,28.6%,28.6%,0,51,0.0,4.6着,5.9人気,35.4,,180,0,0.0%,28.6%,0.0%,114.53,12.73,56.58
265,メジロライアン,  0-  2-  0- 11/ 13,0.0%,15.4%,15.4%,0,42,0.0,6.8着,8.2人気,74.5,,275,0,0.0%,15.4%,0.0%,114.95,12.77,56.37
266,ボールドノースマン,  0-  2-  0-  2/  4,0.0%,50.0%,50.0%,0,157,0.0,5.3着,7.0人気,66.3,,315,0,0.0%,50.0%,0.0%,115.00,12.78,56.35
267,Curlin,  0-  2-  0-  5/  7,0.0%,28.6%,28.6%,0,78,0.0,6.3着,6.6人気,40.9,,275,0,0.0%,28.6%,0.0%,113.20,12.58,57.24
268,プレストウコウ,  0-  2-  0-  2/  4,0.0%,50.0%,50.0%,0,232,0.0,5.0着,7.0人気,29.8,,465,0,0.0%,50.0%,0.0%,114.90,12.77,56.40
269,ヤマニンセラフィム,  0-  2-  0-  4/  6,0.0%,33.3%,33.3%,0,48,0.0,8.2着,7.0人気,146.1,,145,0,0.0%,33.3%,0.0%,115.78,12.86,55.97
270,タイトスポット,  0-  2-  0-  2/  4,0.0%,50.0%,50.0%,0,85,0.0,5.5着,5.5人気,17.3,,170,0,0.0%,50.0%,0.0%,114.95,12.77,56.37
271,"French Deputy",  0-  2-  0-  1/  3,0.0%,66.7%,66.7%,0,76,0.0,5.3着,3.0人気,13.1,,115,0,0.0%,66.7%,0.0%,110.43,12.27,58.68
272,リアルム,  0-  2-  0-  0/  2,0.0%,100.0%,100.0%,0,430,0.0,2.0着,7.5人気,17.2,,430,0,0.0%,100.0%,0.0%,113.45,12.61,57.12
273,リンドシェーバー,  0-  1-  5-  9/ 15,0.0%,6.7%,40.0%,0,112,0.0,5.1着,6.1人気,21.7,,282,0,0.0%,6.7%,33.3%,114.07,12.67,56.81
274,ブラックタイド,  0-  1-  3- 14/ 18,0.0%,5.6%,22.2%,0,85,0.0,6.5着,6.2人気,57.5,,385,0,0.0%,5.6%,16.7%,114.74,12.75,56.48
275,トウカイテイオー,  0-  1-  2-  6/  9,0.0%,11.1%,33.3%,0,101,0.0,6.8着,8.9人気,63.6,,303,0,0.0%,11.1%,22.2%,114.60,12.73,56.54
276,アルカセット,  0-  1-  2- 12/ 15,0.0%,6.7%,20.0%,0,98,0.0,8.9着,10.9人気,169.8,,490,0,0.0%,6.7%,13.3%,115.61,12.85,56.05
277,ノーアテンシヨン,  0-  1-  2-  8/ 11,0.0%,9.1%,27.3%,0,69,0.0,8.0着,8.0人気,51.2,,253,0,0.0%,9.1%,18.2%,116.36,12.93,55.69
278,インターグシケン,  0-  1-  2-  1/  4,0.0%,25.0%,75.0%,0,145,0.0,4.0着,4.8人気,9.9,,193,0,0.0%,25.0%,50.0%,115.73,12.86,55.99
279,ステイゴールド,  0-  1-  1- 21/ 23,0.0%,4.3%,8.7%,0,16,0.0,8.1着,7.7人気,49.9,,190,0,0.0%,4.3%,4.3%,114.10,12.68,56.79
280,サンライズペガサス,  0-  1-  1-  8/ 10,0.0%,10.0%,20.0%,0,61,0.0,7.1着,7.4人気,33.4,,305,0,0.0%,10.0%,10.0%,113.81,12.65,56.94
281,カンパニー,  0-  1-  1- 10/ 12,0.0%,8.3%,16.7%,0,109,0.0,6.8着,10.1人気,121.4,,655,0,0.0%,8.3%,8.3%,113.63,12.63,57.03
282,ラストタイクーン,  0-  1-  1-  5/  7,0.0%,14.3%,28.6%,0,60,0.0,7.1着,6.7人気,42.9,,210,0,0.0%,14.3%,14.3%,116.14,12.90,55.79
283,ハシクランツ,  0-  1-  1-  3/  5,0.0%,20.0%,40.0%,0,50,0.0,5.2着,3.8人気,14.3,,125,0,0.0%,20.0%,20.0%,114.82,12.76,56.44
284,マグニテユード,  0-  1-  1-  4/  6,0.0%,16.7%,33.3%,0,120,0.0,4.5着,9.2人気,44.2,,360,0,0.0%,16.7%,16.7%,116.83,12.98,55.46
285,ギヤロツプダイナ,  0-  1-  1-  5/  7,0.0%,14.3%,28.6%,0,54,0.0,7.9着,6.1人気,21.6,,190,0,0.0%,14.3%,14.3%,117.47,13.05,55.16
