順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
267,ソヴィエトスター, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,10.3着,9.0人気,42.9,,,0,0.0%,0.0%,0.0%,73.00,12.17,59.18
268,ラツキーソブリン, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,7.5着,6.5人気,20.3,,,0,0.0%,0.0%,0.0%,73.60,12.27,58.70
269,ブラックタイアフェアー, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,7.5着,5.0人気,16.1,,,0,0.0%,0.0%,0.0%,72.60,12.10,59.50
270,フサイチソニック, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,6.0着,11.0人気,135.3,,,0,0.0%,0.0%,0.0%,71.95,11.99,60.04
271,ターナボス, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,7.5着,11.5人気,40.2,,,0,0.0%,0.0%,0.0%,72.50,12.08,59.59
272,グランドオペラ, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,7.5着,6.0人気,22.8,,,0,0.0%,0.0%,0.0%,73.35,12.23,58.90
273,リンカーン, 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,5.0着,4.0人気,11.7,,,0,0.0%,0.0%,0.0%,71.10,11.85,60.76
274,ライブリーワン, 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,5.0着,6.0人気,34.6,,,0,0.0%,0.0%,0.0%,72.80,12.13,59.34
275,ムーンバラッド, 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,5.0着,10.0人気,27.6,,,0,0.0%,0.0%,0.0%,71.30,11.88,60.59
276,マナード, 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,5.0着,5.0人気,8.7,,,0,0.0%,0.0%,0.0%,71.70,11.95,60.25
277,ベルシャザール, 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,5.0着,5.0人気,21.8,,,0,0.0%,0.0%,0.0%,76.10,12.68,56.77
278,ツルマルボーイ, 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,5.0着,9.0人気,117.8,,,0,0.0%,0.0%,0.0%,71.70,11.95,60.25
279,ザッツザプレンティ, 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,5.0着,4.0人気,6.6,,,0,0.0%,0.0%,0.0%,73.00,12.17,59.18
