HR22008012820080126100103111616000000000000000000000000000000000000000000000000000000000000000000000001200000139004                          120000004000407000000710100100000059006                          4600000534025                          0712000018860056                                071200000463005301120000030800360107000005740063                                                                                                                1207000035110104                                                                                010712000097280237                                    1207010006296301456                                                                                               
HR22008012820080126100103121818000000000000000000000000000000000000000000000000000000000000000000000000700000097004                          070000002800206000000820110200000125014                          3400000279015                          0607000013670051                                060700000440005802070000080800790206000010850096                                                                                                                0706000029590110                                                                                020607000152100365                                    0706020008369402070                                                                                               
HR22008012820080127100104011414000000000000000000000000000000000000000000000000000000000000000000000001000000012001                          100000001000105000001420100400000419013                          4600000031001                          0510000006830017                                051000000293002304100000048000300405000052760084                                                                                                                1005000007700019                                                                                040510000161610140                                    000000                                                                                                            
HR22008012820080127100104021717000000000000000000000000000000000000000000000000000000000000000000000001600000047002                          160000001800102000001030120600000046008                          1800000090004                          0216000007220031                                021600000298003806160000015700170206000004650057                                                                                                                1602000011840043                                                                                020616000034390124                                    000000                                                                                                            
HR22008012820080127100104031717000000000000000000000000000000000000000000000000000000000000000000000001100000511012                          110000009601102000000120011200000035004                          1600000109003                          0211000006770023                                021100000247002411120000084900730212000000970006                                                                                                                1102000023870064                                                                                021112000031000089                                    000000                                                                                                            
HR22008012820080127100104041818000000000000000000000000000000000000000000000000000000000000000000000001600000025001                          160000001400118000000960100200000026004                          8800000311013                          1618000004660016                                161800000160001502160000005400040218000004620041                                                                                                                1618000006710020                                                                                021618000017220047                                    000000                                                                                                            
HR22008012820080127100104051313000000000000000000000000000000000000000000000000000000000000000000000000400000023001                          040000001200113000000230040800000068009                          4800000046001                          0413000000940003                                041300000039000304080000012500160813000003650039                                                                                                                0413000001630002                                                                                040813000009800036                                    000000                                                                                                            
HR22008012820080127100104061616000000000000000000000000000000000000000000000000000000000000000000000000600000041002                          060000001700216000000180031000000039007                          3800000087002                          0616000000910002                                061600000045000206100000010600141016000001420017                                                                                                                0616000001690002                                                                                061016000004990013                                    000000                                                                                                            
HR22008012820080127100104071010000000000000000000000000000000000000000000000000000000000000000000000000700000058003                          070000001900309000000210040500000016002                          7800000210009                          0709000002400009                                070900000068000905070000005000060509000000520008                                                                                                                0709000004520020                                                                                050709000002840009                                    000000                                                                                                            
HR22008012820080127100104081515000000000000000000000000000000000000000000000000000000000000000000000001300000040002                          130000001600310000000230050400000016002                          6700000133005                          1013000001930005                                101300000067000504130000004400030410000000680006                                                                                                                1310000003790011                                                                                041013000003050006                                    000000                                                                                                            
HR22008012820080127100104091818000000000000000000000000000000000000000000000000000000000000000000000000900000737015                          090000012301408000000670090300000091012                          4500000613022                          0809000052850110                                080900001418011303090000119501020308000007180077                                                                                                                0908000126250234                                                                                030809000355950598                                    0908030013918203080                                                                                               
HR22008012820080127100104101615000000000000000000000000000000000000000000000000000000000000000000000000400000089004                          040000002600407000000140010200000024003                          2400000100004                          0407000001130003                                040700000058000402040000010400120207000000460002                                                                                                                0407000003060008                                                                                020407000002500004                                    0407020000182500040                                                                                               
HR22008012820080127100104111616000000000000000000000000000000000000000000000000000000000000000000000001600000039002                          160000001500212000000220030900000014001                          6800000094003                          1216000001630005                                121600000055000509160000003300010912000000500003                                                                                                                1612000002810007                                                                                091216000002020002                                    1612090000110900011                                                                                               
