順位,母父馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
22,Caro,  5-  3-  2-  9/ 19,26.3%,42.1%,52.6%,262,135,135.3,5.6着,4.8人気,17.3,998,257,0,0.0%,15.8%,10.5%,71.01,11.84,60.84
23,ラシアンルーブル,  5-  2-  2- 22/ 31,16.1%,22.6%,29.0%,262,134,202.0,7.4着,8.0人気,54.5,1626,463,0,0.0%,6.5%,6.5%,71.54,11.92,60.38
24,"Seattle Slew",  5-  2-  1- 30/ 38,13.2%,18.4%,21.1%,93,76,138.8,7.7着,6.6人気,41.3,708,364,0,0.0%,5.3%,2.6%,70.92,11.82,60.91
25,リヴリア,  5-  1-  5- 35/ 46,10.9%,13.0%,23.9%,404,108,143.0,7.2着,7.9人気,52.9,3724,452,0,0.0%,2.2%,10.9%,71.00,11.83,60.84
26,デイクタス,  5-  1-  3- 29/ 38,13.2%,15.8%,23.7%,188,68,139.5,7.1着,8.4人気,64.1,1432,291,0,0.0%,2.6%,7.9%,71.72,11.95,60.24
27,Machiavellian,  5-  1-  1- 17/ 24,20.8%,25.0%,29.2%,425,130,234.2,8.0着,8.9人気,72.9,2042,446,0,0.0%,4.2%,4.2%,70.65,11.77,61.15
28,"Dr. Carter",  5-  0-  0-  2/  7,71.4%,71.4%,71.4%,710,165,267.5,3.3着,3.7人気,16.7,994,232,0,0.0%,0.0%,0.0%,70.13,11.69,61.60
29,ダンスインザダーク,  4-  6-  5- 56/ 71,5.6%,14.1%,21.1%,123,77,87.1,7.1着,7.6人気,41.1,2188,369,0,0.0%,8.5%,7.0%,70.95,11.82,60.89
30,ジェイドロバリー,  4-  6-  4- 56/ 70,5.7%,14.3%,20.0%,45,95,95.1,7.9着,8.7人気,67.9,802,479,0,0.0%,8.6%,5.7%,71.07,11.84,60.79
31,ステイールハート,  4-  5-  4- 38/ 51,7.8%,17.6%,25.5%,171,77,77.9,6.8着,7.3人気,67.6,2185,305,0,0.0%,9.8%,7.8%,71.78,11.96,60.18
32,"Seeking the Gold",  4-  5-  4- 32/ 45,8.9%,20.0%,28.9%,91,90,83.5,7.1着,6.8人気,35.0,1032,313,0,0.0%,11.1%,8.9%,70.87,11.81,60.96
33,ラストタイクーン,  4-  5-  3- 22/ 34,11.8%,26.5%,35.3%,133,149,121.7,6.6着,6.3人気,31.7,1138,423,0,0.0%,14.7%,8.8%,70.86,11.81,60.97
34,"Storm Bird",  4-  4-  3- 12/ 23,17.4%,34.8%,47.8%,84,113,120.9,6.2着,5.7人気,22.3,488,238,0,0.0%,17.4%,13.0%,70.91,11.82,60.92
35,Theatrical,  4-  3-  4- 28/ 39,10.3%,17.9%,28.2%,65,77,117.4,5.9着,7.1人気,39.0,642,275,0,0.0%,7.7%,10.3%,70.39,11.73,61.37
36,ラツキーソブリン,  4-  3-  3- 48/ 58,6.9%,12.1%,17.2%,151,108,81.9,8.0着,8.5人気,66.4,2192,628,0,0.0%,5.2%,5.2%,71.48,11.91,60.43
37,アレミロード,  4-  3-  3- 30/ 40,10.0%,17.5%,25.0%,42,163,79.6,7.7着,7.4人気,55.5,420,655,0,0.0%,7.5%,7.5%,71.68,11.95,60.27
38,キンググローリアス,  4-  2-  3- 21/ 30,13.3%,20.0%,30.0%,241,96,125.5,7.1着,7.2人気,49.2,1812,322,0,0.0%,6.7%,10.0%,71.05,11.84,60.81
39,Lyphard,  4-  2-  2- 33/ 41,9.8%,14.6%,19.5%,137,57,101.9,7.8着,7.7人気,51.7,1412,292,0,0.0%,4.9%,4.9%,71.14,11.86,60.73
40,"Sadler's Wells",  4-  1-  6- 41/ 52,7.7%,9.6%,21.2%,50,63,71.1,8.0着,7.2人気,53.5,655,300,0,0.0%,1.9%,11.5%,71.49,11.92,60.43
41,パドスール,  4-  1-  1- 10/ 16,25.0%,31.3%,37.5%,412,163,299.7,6.4着,7.8人気,61.9,1650,437,0,0.0%,6.3%,6.3%,71.68,11.95,60.27
42,ミルジヨージ,  3- 11-  9- 73/ 96,3.1%,14.6%,24.0%,6,122,31.8,7.6着,8.1人気,67.4,193,510,0,0.0%,11.5%,9.4%,71.57,11.93,60.36
43,フジキセキ,  3- 10-  8- 69/ 90,3.3%,14.4%,23.3%,15,93,42.2,7.4着,7.6人気,49.8,450,400,0,0.0%,11.1%,8.9%,70.85,11.81,60.97
44,ダンシングブレーヴ,  3-  4-  9- 25/ 41,7.3%,17.1%,39.0%,60,480,83.3,6.7着,7.6人気,51.2,833,1232,0,0.0%,9.8%,22.0%,70.84,11.81,60.98
45,ターゴワイス,  3-  4-  3- 54/ 64,4.7%,10.9%,15.6%,34,54,82.4,7.0着,8.1人気,46.6,743,350,0,0.0%,6.3%,4.7%,71.31,11.88,60.58
46,"Green Forest",  3-  4-  2-  5/ 14,21.4%,50.0%,64.3%,100,137,114.0,4.7着,4.6人気,27.9,470,214,0,0.0%,28.6%,14.3%,70.35,11.73,61.41
47,"Kris S.",  3-  3-  3- 17/ 26,11.5%,23.1%,34.6%,24,85,79.1,7.0着,6.2人気,35.5,210,248,0,0.0%,11.5%,11.5%,71.23,11.87,60.65
48,ノーザリー,  3-  2-  5- 27/ 37,8.1%,13.5%,27.0%,42,48,58.7,6.3着,7.0人気,52.8,523,178,0,0.0%,5.4%,13.5%,71.10,11.85,60.76
49,アグネスタキオン,  3-  2-  3- 19/ 27,11.1%,18.5%,29.6%,52,142,107.2,6.6着,7.0人気,47.2,470,482,0,0.0%,7.4%,11.1%,71.12,11.85,60.74
50,Kingmambo,  3-  2-  3- 21/ 29,10.3%,17.2%,27.6%,46,59,94.6,7.0着,6.7人気,49.9,450,215,0,0.0%,6.9%,10.3%,70.78,11.80,61.03
51,カコイーシーズ,  3-  2-  3- 16/ 24,12.5%,20.8%,33.3%,34,84,96.3,7.1着,8.3人気,54.9,273,252,0,0.0%,8.3%,12.5%,71.14,11.86,60.72
52,Trempolino,  3-  2-  2-  5/ 12,25.0%,41.7%,58.3%,224,145,100.8,4.6着,2.9人気,6.6,897,250,0,0.0%,16.7%,16.7%,70.94,11.82,60.90
53,ラムタラ,  3-  2-  2- 12/ 19,15.8%,26.3%,36.8%,894,254,183.9,7.0着,8.7人気,66.9,5663,690,0,0.0%,10.5%,10.5%,70.94,11.82,60.90
54,"Slew o'Gold",  3-  2-  2-  6/ 13,23.1%,38.5%,53.8%,347,206,177.6,5.4着,6.2人気,21.1,1507,384,0,0.0%,15.4%,15.4%,70.22,11.70,61.52
55,リマンド,  3-  2-  1- 19/ 25,12.0%,20.0%,24.0%,44,52,115.6,6.8着,6.8人気,54.3,373,218,0,0.0%,8.0%,4.0%,71.51,11.92,60.41
56,ハビトニー,  3-  2-  1- 10/ 16,18.8%,31.3%,37.5%,85,90,121.0,5.8着,5.9人気,46.1,457,242,0,0.0%,12.5%,6.3%,71.22,11.87,60.66
57,ハードツービート,  3-  2-  0- 23/ 28,10.7%,17.9%,17.9%,198,78,136.6,7.3着,7.5人気,42.9,1857,440,0,0.0%,7.1%,0.0%,71.79,11.97,60.17
58,Westminster,  3-  2-  0-  1/  6,50.0%,83.3%,83.3%,155,165,170.4,1.8着,2.2人気,6.5,310,198,0,0.0%,33.3%,0.0%,68.80,11.47,62.79
59,カツラギエース,  3-  2-  0- 18/ 23,13.0%,21.7%,21.7%,190,76,263.8,9.4着,8.7人気,79.1,1463,354,0,0.0%,8.7%,0.0%,71.30,11.88,60.59
60,メジロライアン,  3-  1-  4- 20/ 28,10.7%,14.3%,28.6%,85,126,206.0,6.3着,8.2人気,43.0,797,442,0,0.0%,3.6%,14.3%,70.15,11.69,61.59
61,"Sir Ivor",  3-  1-  3-  6/ 13,23.1%,30.8%,53.8%,686,162,191.4,5.3着,6.5人気,33.3,2977,422,0,0.0%,7.7%,23.1%,71.61,11.93,60.33
62,ヤマニンスキー,  3-  1-  1- 26/ 31,9.7%,12.9%,16.1%,23,28,102.7,8.3着,7.3人気,56.3,240,174,0,0.0%,3.2%,3.2%,72.05,12.01,59.96
63,サーペンフロ,  3-  1-  1-  8/ 13,23.1%,30.8%,38.5%,106,96,250.9,5.6着,6.5人気,24.5,463,252,0,0.0%,7.7%,7.7%,71.05,11.84,60.80
64,"Distorted Humor",  3-  1-  1-  3/  8,37.5%,50.0%,62.5%,300,256,204.8,4.1着,5.6人気,19.5,800,410,0,0.0%,12.5%,12.5%,70.28,11.71,61.47
65,"Big Spruce",  3-  1-  1-  1/  6,50.0%,66.7%,83.3%,198,210,182.0,2.8着,3.5人気,7.6,397,252,0,0.0%,16.7%,16.7%,70.65,11.78,61.15
66,テンビー,  3-  1-  0-  5/  9,33.3%,44.4%,44.4%,306,110,138.0,5.1着,3.4人気,8.7,920,248,0,0.0%,11.1%,0.0%,69.79,11.63,61.90
67,"Never Tabled",  3-  1-  0-  0/  4,75.0%,100.0%,100.0%,142,132,145.3,1.3着,1.5人気,2.9,190,132,0,0.0%,25.0%,0.0%,70.83,11.80,61.00
68,"Run the Gantlet",  3-  0-  2-  1/  6,50.0%,50.0%,83.3%,536,251,611.4,3.0着,6.2人気,16.8,1073,302,0,0.0%,0.0%,33.3%,70.97,11.83,60.87
69,"King's Bishop",  3-  0-  0-  1/  4,75.0%,75.0%,75.0%,530,152,347.2,2.3着,2.8人気,6.5,707,203,0,0.0%,0.0%,0.0%,70.50,11.75,61.28
70,タイテエム,  2-  7-  5- 29/ 43,4.7%,20.9%,32.6%,62,141,39.2,6.3着,6.5人気,42.9,1350,468,0,0.0%,16.3%,11.6%,71.54,11.92,60.38
71,ウォーニング,  2-  5-  2- 18/ 27,7.4%,25.9%,33.3%,20,70,64.2,6.1着,6.6人気,51.8,270,212,0,0.0%,18.5%,7.4%,70.53,11.76,61.25
72,フレンチデピュティ,  2-  4-  5- 24/ 35,5.7%,17.1%,31.4%,32,84,51.5,7.1着,7.0人気,37.2,575,270,0,0.0%,11.4%,14.3%,70.61,11.77,61.18
73,モガミ,  2-  4-  3- 36/ 45,4.4%,13.3%,20.0%,26,84,72.7,7.7着,8.2人気,66.3,585,424,0,0.0%,8.9%,6.7%,71.92,11.99,60.06
74,アローエクスプレス,  2-  4-  3- 49/ 58,3.4%,10.3%,15.5%,8,34,35.6,7.5着,7.6人気,47.4,250,221,0,0.0%,6.9%,5.2%,71.77,11.96,60.19
75,"Mt. Livermore",  2-  4-  3-  7/ 16,12.5%,37.5%,56.3%,85,163,77.3,5.1着,4.8人気,15.3,685,290,0,0.0%,25.0%,18.8%,70.35,11.73,61.41
76,タマモクロス,  2-  4-  0- 20/ 26,7.7%,23.1%,23.1%,86,95,93.4,7.6着,7.8人気,56.2,1125,415,0,0.0%,15.4%,0.0%,71.94,11.99,60.05
77,タイキシャトル,  2-  3-  4- 44/ 53,3.8%,9.4%,17.0%,62,63,54.2,8.0着,8.4人気,73.7,1655,376,0,0.0%,5.7%,7.5%,71.09,11.85,60.76
78,ドクターデヴィアス,  2-  3-  3- 16/ 24,8.3%,20.8%,33.3%,97,97,157.3,7.5着,8.7人気,75.4,1175,292,0,0.0%,12.5%,12.5%,71.21,11.87,60.66
79,"Silver Hawk",  2-  3-  2- 25/ 32,6.3%,15.6%,21.9%,37,64,94.2,7.8着,7.7人気,66.3,600,293,0,0.0%,9.4%,6.3%,71.03,11.84,60.82
80,クラウンドプリンス,  2-  3-  2- 27/ 34,5.9%,14.7%,20.6%,43,51,61.3,6.1着,6.8人気,38.1,745,249,0,0.0%,8.8%,5.9%,71.23,11.87,60.65
81,Rahy,  2-  3-  2- 15/ 22,9.1%,22.7%,31.8%,34,69,61.0,5.6着,5.1人気,19.5,375,219,0,0.0%,13.6%,9.1%,70.44,11.74,61.33
82,コマンダーインチーフ,  2-  3-  2- 27/ 34,5.9%,14.7%,20.6%,36,120,97.8,7.6着,9.1人気,64.6,620,583,0,0.0%,8.8%,5.9%,71.30,11.88,60.59
83,"Private Account",  2-  3-  2- 23/ 30,6.7%,16.7%,23.3%,22,80,77.7,6.9着,7.0人気,31.7,335,343,0,0.0%,10.0%,6.7%,70.70,11.78,61.11
84,スペシャルウィーク,  2-  3-  2- 13/ 20,10.0%,25.0%,35.0%,61,69,91.0,6.7着,6.7人気,30.0,610,197,0,0.0%,15.0%,10.0%,70.88,11.81,60.95
85,Damascus,  2-  3-  0- 10/ 15,13.3%,33.3%,33.3%,38,54,74.8,6.1着,6.5人気,44.0,285,164,0,0.0%,20.0%,0.0%,71.55,11.93,60.37
86,シンボリルドルフ,  2-  3-  0- 18/ 23,8.7%,21.7%,21.7%,129,52,63.1,7.0着,6.9人気,53.1,1485,240,0,0.0%,13.0%,0.0%,71.33,11.89,60.56
87,"Cure the Blues",  2-  3-  0-  6/ 11,18.2%,45.5%,45.5%,25,68,66.9,6.3着,5.4人気,32.6,140,150,0,0.0%,27.3%,0.0%,70.55,11.76,61.24
88,サクラシヨウリ,  2-  3-  0- 14/ 19,10.5%,26.3%,26.3%,41,85,113.7,7.6着,8.4人気,52.7,395,324,0,0.0%,15.8%,0.0%,70.84,11.81,60.98
89,エルコンドルパサー,  2-  2-  4- 14/ 22,9.1%,18.2%,36.4%,51,236,105.8,7.0着,7.6人気,44.6,565,651,0,0.0%,9.1%,18.2%,70.75,11.79,61.06
90,ブレイヴエストローマン,  2-  2-  3- 59/ 66,3.0%,6.1%,10.6%,53,46,42.4,8.3着,8.2人気,72.3,1780,440,0,0.0%,3.0%,4.5%,71.82,11.97,60.15
91,Alydar,  2-  2-  1- 18/ 23,8.7%,17.4%,21.7%,16,40,61.6,6.9着,6.1人気,26.5,190,186,0,0.0%,8.7%,4.3%,70.89,11.81,60.94
92,ニホンピロウイナー,  2-  2-  1- 22/ 27,7.4%,14.8%,18.5%,95,112,97.0,8.0着,7.7人気,65.7,1295,606,0,0.0%,7.4%,3.7%,71.01,11.83,60.84
93,"Be My Guest",  2-  2-  0-  8/ 12,16.7%,33.3%,33.3%,78,66,131.2,4.8着,4.8人気,12.8,470,200,0,0.0%,16.7%,0.0%,71.15,11.86,60.72
94,Miswaki,  2-  2-  0- 29/ 33,6.1%,12.1%,12.1%,46,29,83.7,8.9着,7.9人気,65.2,760,242,0,0.0%,6.1%,0.0%,71.17,11.86,60.70
95,"Irish River",  2-  2-  0- 14/ 18,11.1%,22.2%,22.2%,46,51,82.4,7.7着,7.4人気,44.3,420,232,0,0.0%,11.1%,0.0%,70.83,11.80,60.99
96,"Mari's Book",  2-  2-  0-  1/  5,40.0%,80.0%,80.0%,270,180,182.8,2.2着,2.6人気,5.3,675,225,0,0.0%,40.0%,0.0%,69.96,11.66,61.75
97,ノーパスノーセール,  2-  2-  0-  4/  8,25.0%,50.0%,50.0%,1068,286,287.7,6.5着,8.4人気,46.1,4275,572,0,0.0%,25.0%,0.0%,71.33,11.89,60.57
98,シーホーク,  2-  1-  5- 15/ 23,8.7%,13.0%,34.8%,27,60,65.2,5.6着,5.6人気,27.5,315,197,0,0.0%,4.3%,21.7%,71.59,11.93,60.34
99,ノーザンデイクテイター,  2-  1-  5- 16/ 24,8.3%,12.5%,33.3%,116,159,86.4,7.2着,7.5人気,47.9,1395,478,0,0.0%,4.2%,20.8%,71.53,11.92,60.40
100,オペラハウス,  2-  1-  3- 22/ 28,7.1%,10.7%,21.4%,106,82,91.4,8.0着,8.2人気,62.4,1485,387,0,0.0%,3.6%,10.7%,71.23,11.87,60.65
101,Diesis,  2-  1-  3-  7/ 13,15.4%,23.1%,46.2%,176,140,181.7,4.9着,7.1人気,30.1,1145,305,0,0.0%,7.7%,23.1%,71.02,11.84,60.83
102,Capote,  2-  1-  2- 18/ 23,8.7%,13.0%,21.7%,33,54,123.3,7.4着,8.1人気,51.7,390,250,0,0.0%,4.3%,8.7%,70.90,11.82,60.93
103,"A.P. Indy",  2-  1-  2- 15/ 20,10.0%,15.0%,25.0%,36,93,79.9,7.2着,6.1人気,25.6,360,374,0,0.0%,5.0%,10.0%,70.88,11.81,60.95
104,ハギノカムイオー,  2-  1-  2- 13/ 18,11.1%,16.7%,27.8%,112,71,174.5,6.7着,7.5人気,42.4,1015,322,0,0.0%,5.6%,11.1%,71.72,11.95,60.24
105,"Exclusive Native",  2-  1-  2-  7/ 12,16.7%,25.0%,41.7%,28,200,102.6,5.4着,6.4人気,42.7,170,480,0,0.0%,8.3%,16.7%,71.09,11.85,60.77
106,"Smart Strike",  2-  1-  2-  3/  8,25.0%,37.5%,62.5%,96,427,131.1,3.4着,4.4人気,17.8,385,684,0,0.0%,12.5%,25.0%,69.25,11.54,62.38
107,コインドシルバー,  2-  1-  2- 15/ 20,10.0%,15.0%,25.0%,54,47,123.9,8.5着,7.9人気,69.8,540,238,0,0.0%,5.0%,10.0%,71.61,11.93,60.33
108,ホワイトマズル,  2-  1-  1- 18/ 22,9.1%,13.6%,18.2%,115,50,160.0,7.1着,8.7人気,52.2,1265,278,0,0.0%,4.5%,4.5%,70.84,11.81,60.98
109,アフリート,  2-  1-  1- 40/ 44,4.5%,6.8%,9.1%,14,13,87.1,8.6着,9.6人気,76.8,325,148,0,0.0%,2.3%,2.3%,70.93,11.82,60.90
110,マイネルラヴ,  2-  1-  1- 15/ 19,10.5%,15.8%,21.1%,220,62,128.9,6.8着,7.6人気,49.8,2095,295,0,0.0%,5.3%,5.3%,69.91,11.65,61.79
111,ボールドリツク,  2-  1-  1- 13/ 17,11.8%,17.6%,23.5%,431,190,278.6,6.7着,9.5人気,45.8,3670,808,0,0.0%,5.9%,5.9%,71.62,11.94,60.32
112,リンドシェーバー,  2-  1-  1- 12/ 16,12.5%,18.8%,25.0%,66,140,74.7,7.7着,7.1人気,60.2,530,560,0,0.0%,6.3%,6.3%,71.19,11.86,60.68
113,サンダーガルチ,  2-  1-  1- 13/ 17,11.8%,17.6%,23.5%,71,40,110.2,7.1着,7.8人気,69.3,610,170,0,0.0%,5.9%,5.9%,70.62,11.77,61.17
114,Wolfhound,  2-  1-  1-  2/  6,33.3%,50.0%,66.7%,140,116,175.9,3.0着,4.0人気,14.3,420,175,0,0.0%,16.7%,16.7%,68.80,11.47,62.79
115,リズム,  2-  1-  1- 12/ 16,12.5%,18.8%,25.0%,417,240,359.1,8.4着,9.5人気,86.2,3340,960,0,0.0%,6.3%,6.3%,71.45,11.91,60.46
116,"Crafty Prospector",  2-  1-  1-  8/ 12,16.7%,25.0%,33.3%,69,48,134.2,6.5着,7.5人気,37.7,415,145,0,0.0%,8.3%,8.3%,70.78,11.80,61.03
117,Zafonic,  2-  1-  1-  1/  5,40.0%,60.0%,80.0%,220,138,225.5,2.8着,5.0人気,73.8,550,172,0,0.0%,20.0%,20.0%,70.36,11.73,61.40
118,Selkirk,  2-  1-  1-  0/  4,50.0%,75.0%,100.0%,230,185,232.1,1.8着,1.8人気,5.4,460,185,0,0.0%,25.0%,25.0%,69.18,11.53,62.45
119,イエローゴツド,  2-  1-  0- 23/ 26,7.7%,11.5%,11.5%,89,43,163.4,7.6着,8.5人気,42.2,1165,380,0,0.0%,3.8%,0.0%,71.76,11.96,60.20
120,"Blushing Groom",  2-  1-  0-  8/ 11,18.2%,27.3%,27.3%,41,33,80.4,7.5着,6.0人気,62.4,230,123,0,0.0%,9.1%,0.0%,70.99,11.83,60.85
121,トレボロ,  2-  1-  0-  8/ 11,18.2%,27.3%,27.3%,190,58,227.4,6.5着,6.3人気,40.8,1050,213,0,0.0%,9.1%,0.0%,72.35,12.06,59.71
122,マヤノトップガン,  2-  1-  0-  7/ 10,20.0%,30.0%,30.0%,39,65,131.7,6.2着,6.2人気,27.0,195,217,0,0.0%,10.0%,0.0%,71.68,11.95,60.27
123,バイアモン,  2-  1-  0-  3/  6,33.3%,50.0%,50.0%,215,85,167.9,5.2着,4.5人気,40.1,645,170,0,0.0%,16.7%,0.0%,70.92,11.82,60.92
124,Northfields,  2-  1-  0-  5/  8,25.0%,37.5%,37.5%,143,131,183.0,6.3着,7.1人気,34.1,575,350,0,0.0%,12.5%,0.0%,70.85,11.81,60.97
125,カナデル,  2-  1-  0-  0/  3,66.7%,100.0%,100.0%,140,123,172.9,1.3着,1.7人気,3.0,210,123,0,0.0%,33.3%,0.0%,69.43,11.57,62.22
126,Hernando,  2-  1-  0-  0/  3,66.7%,100.0%,100.0%,186,350,247.3,1.3着,3.3人気,9.0,280,350,0,0.0%,33.3%,0.0%,69.27,11.54,62.37
127,クロフネ,  2-  0-  3- 13/ 18,11.1%,11.1%,27.8%,360,106,139.4,6.3着,6.4人気,29.6,3245,382,0,0.0%,0.0%,16.7%,70.67,11.78,61.13
128,サウスアトランテイツク,  2-  0-  2- 14/ 18,11.1%,11.1%,22.2%,51,239,204.0,8.1着,9.1人気,65.5,465,1078,0,0.0%,0.0%,11.1%,71.37,11.90,60.53
129,ダンデイルート,  2-  0-  2- 11/ 15,13.3%,13.3%,26.7%,77,60,93.6,7.6着,5.6人気,17.8,580,228,0,0.0%,0.0%,13.3%,71.75,11.96,60.21
130,"Green Dancer",  2-  0-  2-  4/  8,25.0%,25.0%,50.0%,67,70,84.4,6.6着,4.9人気,23.6,270,140,0,0.0%,0.0%,25.0%,70.81,11.80,61.01
131,スキャン,  2-  0-  2- 24/ 28,7.1%,7.1%,14.3%,34,42,141.6,8.9着,8.8人気,64.7,480,298,0,0.0%,0.0%,7.1%,71.25,11.88,60.63
132,"Raja Baba",  2-  0-  2- 10/ 14,14.3%,14.3%,28.6%,84,100,140.7,6.9着,8.1人気,66.3,590,352,0,0.0%,0.0%,14.3%,71.15,11.86,60.72
133,ディープインパクト,  2-  0-  1-  6/  9,22.2%,22.2%,33.3%,72,55,115.8,5.7着,3.8人気,16.7,325,167,0,0.0%,0.0%,11.1%,70.81,11.80,61.01
134,"Fairy King",  2-  0-  1- 11/ 14,14.3%,14.3%,21.4%,126,45,171.1,7.9着,7.0人気,49.0,885,210,0,0.0%,0.0%,7.1%,71.09,11.85,60.77
135,"Saratoga Six",  2-  0-  1-  8/ 11,18.2%,18.2%,27.3%,250,111,167.3,6.7着,5.5人気,32.8,1375,410,0,0.0%,0.0%,9.1%,70.73,11.79,61.08
136,"Loup Sauvage",  2-  0-  1-  2/  5,40.0%,40.0%,60.0%,190,110,220.4,5.4着,5.6人気,51.4,475,183,0,0.0%,0.0%,20.0%,69.86,11.64,61.84
137,Cozzene,  2-  0-  0- 15/ 17,11.8%,11.8%,11.8%,95,29,89.1,7.7着,5.5人気,59.2,815,250,0,0.0%,0.0%,0.0%,71.15,11.86,60.71
138,Dayjur,  2-  0-  0- 11/ 13,15.4%,15.4%,15.4%,96,20,191.3,7.5着,6.7人気,34.7,625,135,0,0.0%,0.0%,0.0%,70.97,11.83,60.87
139,"Last Tycoon",  2-  0-  0-  8/ 10,20.0%,20.0%,20.0%,43,26,125.4,7.8着,6.8人気,49.3,215,130,0,0.0%,0.0%,0.0%,71.76,11.96,60.20
140,パラダイスクリーク,  2-  0-  0- 13/ 15,13.3%,13.3%,13.3%,715,127,428.7,8.2着,9.7人気,81.5,5365,955,0,0.0%,0.0%,0.0%,71.49,11.91,60.43
141,"The Minstrel",  2-  0-  0-  5/  7,28.6%,28.6%,28.6%,120,58,300.6,7.3着,8.9人気,68.3,420,205,0,0.0%,0.0%,0.0%,71.30,11.88,60.59
