順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
340,シエイデイハイツ,  0-  2-  0-  2/  4,0.0%,50.0%,50.0%,0,152,0.0,6.0着,6.3人気,59.0,,305,0,0.0%,50.0%,0.0%,72.05,12.01,59.96
341,フィガロ,  0-  2-  0-  1/  3,0.0%,66.7%,66.7%,0,470,0.0,3.3着,6.7人気,25.9,,705,0,0.0%,66.7%,0.0%,71.13,11.86,60.73
342,キョウワアリシバ,  0-  2-  0-  1/  3,0.0%,66.7%,66.7%,0,160,0.0,3.7着,2.3人気,4.5,,240,0,0.0%,66.7%,0.0%,71.27,11.88,60.62
343,"Reference Point",  0-  2-  0-  0/  2,0.0%,100.0%,100.0%,0,115,0.0,2.0着,1.5人気,1.8,,115,0,0.0%,100.0%,0.0%,71.95,11.99,60.04
344,シャンハイ,  0-  1-  4- 29/ 34,0.0%,2.9%,14.7%,0,184,0.0,8.9着,9.0人気,72.7,,1254,0,0.0%,2.9%,11.8%,71.70,11.95,60.25
345,"Storm Cat",  0-  1-  4- 11/ 16,0.0%,6.3%,31.3%,0,75,0.0,7.3着,4.8人気,25.1,,242,0,0.0%,6.3%,25.0%,70.71,11.78,61.10
346,ヘネシー,  0-  1-  4- 10/ 15,0.0%,6.7%,33.3%,0,121,0.0,6.9着,6.0人気,28.6,,364,0,0.0%,6.7%,26.7%,71.22,11.87,60.66
347,ブレイヴエストローマン,  0-  1-  3- 19/ 23,0.0%,4.3%,17.4%,0,34,0.0,6.6着,5.3人気,25.5,,267,0,0.0%,4.3%,13.0%,71.33,11.89,60.57
348,ショウナンカンプ,  0-  1-  2- 21/ 24,0.0%,4.2%,12.5%,0,61,0.0,8.4着,8.1人気,45.2,,493,0,0.0%,4.2%,8.3%,70.60,11.77,61.19
349,カツテイングブレード,  0-  1-  2-  9/ 12,0.0%,8.3%,25.0%,0,35,0.0,7.6着,7.6人気,29.5,,210,0,0.0%,8.3%,16.7%,71.68,11.95,60.27
350,サニーブライアン,  0-  1-  2- 11/ 14,0.0%,7.1%,21.4%,0,89,0.0,8.1着,7.9人気,33.7,,417,0,0.0%,7.1%,14.3%,71.08,11.85,60.78
351,リズム,  0-  1-  2- 10/ 13,0.0%,7.7%,23.1%,0,70,0.0,8.0着,7.8人気,70.7,,307,0,0.0%,7.7%,15.4%,71.37,11.89,60.53
352,ゴールドアリュール,  0-  1-  1- 20/ 22,0.0%,4.5%,9.1%,0,23,0.0,9.4着,8.9人気,47.3,,255,0,0.0%,4.5%,4.5%,70.76,11.79,61.05
353,ジェリ,  0-  1-  1-  8/ 10,0.0%,10.0%,20.0%,0,37,0.0,8.0着,8.0人気,52.7,,185,0,0.0%,10.0%,10.0%,71.04,11.84,60.81
354,サクラトウコウ,  0-  1-  1- 12/ 14,0.0%,7.1%,14.3%,0,105,0.0,8.4着,9.3人気,95.1,,735,0,0.0%,7.1%,7.1%,72.67,12.11,59.45
355,ハウスバスター,  0-  1-  1-  3/  5,0.0%,20.0%,40.0%,0,58,0.0,5.2着,4.0人気,9.4,,145,0,0.0%,20.0%,20.0%,70.50,11.75,61.28
356,タバスコキャット,  0-  1-  1- 10/ 12,0.0%,8.3%,16.7%,0,88,0.0,7.9着,7.0人気,59.4,,530,0,0.0%,8.3%,8.3%,71.58,11.93,60.36
357,パーフライト,  0-  1-  1-  5/  7,0.0%,14.3%,28.6%,0,18,0.0,5.7着,5.4人気,30.8,,130,0,0.0%,14.3%,14.3%,71.41,11.90,60.49
358,ノーザンアンサー,  0-  1-  1-  2/  4,0.0%,25.0%,50.0%,0,40,0.0,3.8着,4.8人気,22.8,,160,0,0.0%,25.0%,25.0%,71.78,11.96,60.19
359,テイエムジャンボ,  0-  1-  1-  2/  4,0.0%,25.0%,50.0%,0,145,0.0,5.8着,6.5人気,39.3,,290,0,0.0%,25.0%,25.0%,71.58,11.93,60.36
360,リヴリア,  0-  1-  1- 11/ 13,0.0%,7.7%,15.4%,0,33,0.0,6.7着,6.3人気,35.4,,215,0,0.0%,7.7%,7.7%,71.11,11.85,60.75
361,ゴールドヘイロー,  0-  1-  1- 13/ 15,0.0%,6.7%,13.3%,0,48,0.0,8.6着,8.9人気,61.0,,365,0,0.0%,6.7%,6.7%,71.61,11.93,60.33
362,スクワートルスクワート,  0-  1-  1- 10/ 12,0.0%,8.3%,16.7%,0,120,0.0,9.0着,11.4人気,106.7,,725,0,0.0%,8.3%,8.3%,71.90,11.98,60.08
363,コマンズ,  0-  1-  1-  7/  9,0.0%,11.1%,22.2%,0,102,0.0,8.3着,7.9人気,28.1,,460,0,0.0%,11.1%,11.1%,69.97,11.66,61.74
364,"War Chant",  0-  1-  1-  6/  8,0.0%,12.5%,25.0%,0,130,0.0,7.5着,7.0人気,17.3,,520,0,0.0%,12.5%,12.5%,70.11,11.69,61.62
365,ドリームジャーニー,  0-  1-  1-  3/  5,0.0%,20.0%,40.0%,0,104,0.0,6.6着,7.4人気,20.7,,260,0,0.0%,20.0%,20.0%,70.90,11.82,60.93
366,ターナボス,  0-  1-  1-  3/  5,0.0%,20.0%,40.0%,0,40,0.0,6.4着,5.0人気,11.5,,200,0,0.0%,20.0%,20.0%,71.38,11.90,60.52
367,"Unbridled's Song",  0-  1-  1-  3/  5,0.0%,20.0%,40.0%,0,100,0.0,6.0着,4.0人気,13.5,,250,0,0.0%,20.0%,20.0%,70.66,11.78,61.14
368,ハビトニー,  0-  1-  1-  1/  3,0.0%,33.3%,66.7%,0,126,0.0,3.3着,2.3人気,4.8,,190,0,0.0%,33.3%,33.3%,70.43,11.74,61.33
369,アルカング,  0-  1-  1-  5/  7,0.0%,14.3%,28.6%,0,167,0.0,8.6着,9.6人気,57.7,,585,0,0.0%,14.3%,14.3%,71.37,11.90,60.53
370,サマーサスピション,  0-  1-  1-  4/  6,0.0%,16.7%,33.3%,0,86,0.0,7.5着,7.7人気,82.6,,260,0,0.0%,16.7%,16.7%,72.22,12.04,59.82
371,バイアモン,  0-  1-  1-  3/  5,0.0%,20.0%,40.0%,0,52,0.0,6.6着,4.4人気,28.7,,130,0,0.0%,20.0%,20.0%,71.70,11.95,60.25
372,"Arctic Tern",  0-  1-  1-  2/  4,0.0%,25.0%,50.0%,0,150,0.0,5.3着,5.3人気,11.9,,300,0,0.0%,25.0%,25.0%,70.88,11.81,60.95
373,ビンゴガルー,  0-  1-  1-  1/  3,0.0%,33.3%,66.7%,0,186,0.0,4.7着,5.3人気,10.0,,280,0,0.0%,33.3%,33.3%,70.70,11.78,61.10
374,スパイキュール,  0-  1-  1-  1/  3,0.0%,33.3%,66.7%,0,300,0.0,5.7着,11.7人気,108.0,,450,0,0.0%,33.3%,33.3%,70.87,11.81,60.96
375,Wolfhound,  0-  1-  1-  0/  2,0.0%,50.0%,100.0%,0,230,0.0,2.5着,5.0人気,10.2,,230,0,0.0%,50.0%,50.0%,71.95,11.99,60.04
376,Niniski,  0-  1-  1-  0/  2,0.0%,50.0%,100.0%,0,190,0.0,2.5着,2.5人気,7.2,,190,0,0.0%,50.0%,50.0%,71.00,11.83,60.85
377,"Formal Dinner",  0-  1-  1-  0/  2,0.0%,50.0%,100.0%,0,260,0.0,2.5着,4.0人気,7.6,,260,0,0.0%,50.0%,50.0%,70.40,11.73,61.36
378,"Encosta De Lago",  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,36,0.0,5.2着,7.6人気,55.8,,180,0,0.0%,20.0%,0.0%,70.48,11.75,61.29
379,グランデラ,  0-  1-  0-  9/ 10,0.0%,10.0%,10.0%,0,23,0.0,7.6着,7.4人気,62.7,,230,0,0.0%,10.0%,0.0%,71.43,11.91,60.48
380,ロックオブジブラルタル,  0-  1-  0-  9/ 10,0.0%,10.0%,10.0%,0,217,0.0,8.1着,5.9人気,45.8,,2170,0,0.0%,10.0%,0.0%,71.13,11.86,60.73
