RA720030505200305040401021020000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  14A032000000005010005　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000001200B   00075000000300000001900000011000000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001445000016161611012811511912312111710711800000000000000000000000000000000000000000000000000000003624853424633114(7,16)1(3,5,12)(6,11,15)9(2,4,13)(8,10)                             4114(7,16)1(5,12)(3,11)(9,6)15(2,4)13,8,10                              00                                                                      00                                                                      0
RA720030505200305040401021120000駿風ステークス　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　SHUMPU STAKES                                                                                                                                                                                                                                                                                                                                                           駿風ステークス　　　駿風Ｓ　　　駿風Ｓ0000E 14A032000000999999999　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　100000001000B   002400000009600000060000000360000002400000000000000000000000000000000000000000000000000000000000000035700000102000000510000000000000000000000000000000000000000015250000131313110119101105105112000000000000000000000000000000000000000000000000000000000000000032543032242300                                                                      00                                                                      00                                                                      00                                                                      0
RA720030505200305040401021220000湯沢特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　YUZAWA TOKUBETSU                                                                                                                                                                                                                                                                                                                                                        湯沢特別　　　　　　湯沢特別　　湯沢特0000E 14A032000000005010005　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000001100B   0010500000042000000260000001600000010500000000000000000000000000000000000000000000000000000000000000714000002040000010200000000000000000000000000000000000000000161000001615151101241101151201211211200000000000000000000000000000000000000000000000000000000000349469362482312-15(3,6,16)13(7,8,10,5,11)(1,12)(9,4)   14                           412-15(3,13)(6,16,5,11)(7,8,10)(1,12)(9,4)   14                         00                                                                      00                                                                      0
RA720030512200305100401030110000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  120003000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    0005100000020000000130000000770000005100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000095500000808081021311151321381311241281261290000000000000000000000000000000000000000000000000000378516383507111,2(6,8)7-5,4-3                                                       211,2(7,6,8)(5,4)-3                                                     311,2(6,8)7(5,4)-3                                                      41(*1,2,8)(7,6)5,4-3                                                    0
RA720030512200305100401030210000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  12A003000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　180000001200B   0005100000020000000130000000770000005100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102000001010101101311291301351321261181041130000000000000000000000000000000000000000000000000000390525335461317,6(3,5,10)2(1,8)(9,4)                                                417,6(3,5,10)2(1,8)(9,4)                                                00                                                                      00                                                                      0
RA720030512200305100401030310000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  120003000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    0005100000020000000130000000770000005100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104500001010101021291151291371301261241251260000000000000000000000000000000000000000000000000000373510375501112,6(1,9)7,10-3,8-4-5                                                  212,6(1,9)7,10,3,8,4-5                                                  312(6,9)1(7,10)-3-8-4=5                                                 412(6,9)1,10,7-3-8-4-5                                                  0
RA720030512200305100401030410000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  120003000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0005100000020000000130000000770000005100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111500001515151021221091171321291320000000000000000000000000000000000000000000000000000000000000348480393510312,15(8,12)(11,10)14-(7,9)3(1,4)(6,13)-5                               412,15,12(8,10)11(9,14)3,7(1,4,6)-(5,13)                                00                                                                      00                                                                      0
RA720030512200305100401030510000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  120203000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　100000001000B   000510000002000000013000000077000000510000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011450000161616110124105108107117000000000000000000000000000000000000000000000000000000000000000033744433243700                                                                      00                                                                      00                                                                      00                                                                      0
RA720030512200305100401030610000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  12A003000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000001100B   000510000002000000013000000077000000510000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012450000161616110122105117121119122000000000000000000000000000000000000000000000000000000000000034446536247931(14,*9)12-(3,6)10(4,16)13(7,11)8(2,5)-1=15                            419(14,12)-(3,6)(4,16,10)(7,13)11-(2,8,5)1=15                           00                                                                      00                                                                      0
RA720030512200305100401030710000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  140202000000005010005　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    000750000003000000019000000110000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013150000151414101122109120128128126000000000000000000000000000000000000000000000000000000000000035147938250231(*7,13)(3,4,11,8)2(15,9)-14,10,12(6,1)   5                            41(*7,13,8)(3,4,11)9(2,15)10(14,1)12,6   5                              00                                                                      00                                                                      0
