RAA20150507201505063002021160000ローズキングダム賞【北海優駿ＴＲ】　条件　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                            ローズキングダム賞【ローズキングローズ0000E 120004000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　170000002400    000050000000100000000750000005000000025000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080808201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(2,3),4,(1,6),8,5,7                                                   202,3,4,1,6,8,5,7                                                       30(2,3,4),(1,6),(5,8),7                                                 40(2,4),3,1,(5,6),8,7                                                   0
RAA20150529201505283003040270000２歳未勝利　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ２歳未勝利　　　　　２歳未勝利　２歳未0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　100000002400    0000300000000600000004500000030000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000307,(2,9),6,(3,4,5),8,1                                                 407,(2,9),6,5,3,4,(1,8)                                                 00                                                                      00                                                                      0
RAA20150514201505133002030860000はまなす特別　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          はまなす特別　Ｃ３　はまなす特別はまな0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    000030000000060000000450000003000000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909303000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(5,8),(3,4,9),6,(1,7),2                                               205,8,(3,4),9,6,7,1,2                                                   30(5,8),4,9,(3,6,7),2,1                                                 40(5,8),4,6,9,7,3,2,1                                                   0
RAA20150514201505133002030760000３歳以上Ｃ４－２　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－２　Ｃ３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000200000000320000002400000016000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,11,3,(5,6),7,(9,10),2,8,(1,12)                                      204,11,3,(5,6),7,9,(2,10),8,12,1                                        30(4,11),7,(3,5,9),6,8,2,12,10,1                                        4011,(4,7),3,5,9,(2,8),(6,12),1,10                                      0
RAA20150522201505213003020470000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　150000002400    0001500000003000000022500000150000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,(3,4,8,10),9,6,2,7                                                201,5,(3,4,8),10,9,6,2,7                                                301,5,(4,8),3,10,9,6,7,2                                                405,1,4,8,3,(9,10),7,6,2                                                0
RAA20150529201505283003040470000平取町芽生すずらん群生地賞　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     平取町芽生すずらん群平取町芽生す平取町0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000020000000032000000240000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(1,4,5),(8,10),9,3,2,7,6,11                                           40(1,4,5),9,10,(2,3),8,6,11,7                                           00                                                                      00                                                                      0
RAA20150529201505283003040870000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　120000002400    000150000000300000002250000015000000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(3,6,9),1,(5,10),2,7,4,8                                              40(3,6),9,1,(5,10),7,2,4,8                                              00                                                                      00                                                                      0
RAA20150514201505133002030360000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　100000002400    0001500000003000000022500000150000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,4,10,7,(8,11),6,5,9,2,1                                             403,4,10,7,(6,8,11),5,9,2,1                                             00                                                                      00                                                                      0
RAA20150529201505273003030460000新冠町サラブレッド銀座賞　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     新冠町サラブレッド銀新冠町サラブ新冠町0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000200000000400000003000000020000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,11,2,12,(1,8),(4,9),10,7,6                                        203,5,11,2,12,1,8,(4,9),10,7,6                                          30(3,5),11,2,12,1,(4,8),10,7,9,6                                        40(5,11),2,3,12,(1,4,8),10,7,6,9                                        0
RAA20150529201505283003040970000アタックＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            アタックＣｈ（中央認アタックＣｈアタッ0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0000800000001600000012000000080000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,9,7,2,(4,8),1,5,3,10                                                406,9,2,8,4,(1,7),5,3,10                                                00                                                                      00                                                                      0
RAA20150515201505143002041170000日本最大規模！芝ざくら滝上特別　Ａ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          日本最大規模！芝ざく日本最大規模日本最0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    000080000000160000001200000008000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,2),3,9,8,4,6,(5,7)                                                 201,2,3,9,(4,8),5,6,7                                                   30(1,2),3,(8,9),5,(4,6,7)                                               403,(1,2),8,9,5,(6,7),4                                                 0
RAA20150507201505063002020360000３歳以上Ｃ４－３　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－３　Ｃ３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　100000002400    0000200000000320000002400000016000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,5,7,(3,8),9,(2,6),1                                                 404,5,7,(3,8),9,(2,6),1                                                 00                                                                      00                                                                      0
