RAA20150305201503044721020860000つくし賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          つくし賞（中央交流）つくし賞（中つくし0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,4,7,3,1,9,8,5,2                                                  206,10,7,4,3,9,1,8,5,2                                                  307,9,6,10,3,(1,4),8,2,5                                                407,9,6,10,3,1,(4,8),2,5                                                0
RAA20150317201503164722011040000孟春特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          孟春特別　Ｂ１　　　孟春特別　Ｂ孟春特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000250000000500000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,4,9,6,5,1,2                                                       207,8,4,9,6,5,1,2                                                       307,8,(4,9),6,5,1,2                                                     407,(4,8,9),6,5,1,2                                                     0
RAA20150306201503054721030970000マックル賞　Ｂ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     マックル賞　Ｂ７　　マックル賞　マック0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,10,7,9,2,4,1,5,3                                                  206,8,10,7,2,9,4,1,5,3                                                  306,10,2,8,9,7,4,1,5,3                                                  406,2,10,9,8,7,4,1,5,3                                                  0
RAA20150306201503054721031170000若草特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          若草特別　Ｃ１　　　若草特別　Ｃ若草特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000190000000380000001900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,4,6,9,2,10,8,3,1                                                  205,7,4,9,6,2,8,10,3,1                                                  307,9,5,4,(3,8),2,10,6,1                                                407,9,4,5,8,3,2,10,6,1                                                  0
RAA20150307201503064721040880000サラ系Ｃ１６組特選　Ｃ１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１６組特選　サラ系Ｃ１６サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,4,5,10,3,7,1,8,6,2                                                  209,4,5,3,10,7,1,6,8,2                                                  309,5,4,3,10,7,6,1,8,2                                                  409,5,3,4,10,7,6,8,1,2                                                  0
RAA20150318201503174722020850000サラ系Ｂ５組　Ｂ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ５組　Ｂ５　サラ系Ｂ５組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,5,8,3,1,2,4                                                       206,7,5,8,3,1,2,4                                                       30(6,7,8),5,3,2,1,4                                                     40(6,7,8),5,2,3,1,4                                                     0
RAA20150320201503194722040870000サラ系Ｂ１２・Ｃ３組　Ｂ１２Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ１２・Ｃ３組サラ系Ｂ１２サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707072040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,6,3,4,2,1                                                         205,7,6,3,4,1,2                                                         305,7,(4,6),3,2,1                                                       40(4,5),7,6,3,2,1                                                       0
RAA20150306201503054721030170000サラ系Ｃ２０組牝馬　Ｃ２０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２０組牝馬　サラ系Ｃ２０サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00001300000002600000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101020200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,2,3,9,5,8,4,1,6,7                                                  2010,2,3,9,5,4,8,1,6,7                                                  3010,2,3,9,5,4,8,7,1,6                                                  4010,2,3,9,5,8,7,1,4,6                                                  0
RAA20150307201503064721041080000弥生特別　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          弥生特別　Ａ２　　　弥生特別　Ａ弥生特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000370000000740000003700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,5,1,4,3,8,2                                                       206,7,5,1,4,3,8,2                                                       306,7,4,5,(1,3),8,2                                                     406,7,4,5,3,1,2,8                                                       0
RAA20150319201503184722031060000笠松町生誕１２５周年記念　Ｃ１９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          笠松町生誕１２５周年笠松町生誕１笠松町0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,7,2,5,4,3,1,8,6                                                     209,7,2,5,1,4,3,8,6                                                     309,7,2,5,1,4,3,6,8                                                     409,7,2,5,1,3,6,4,8                                                     0
RAA20150321201503204722050980000春陽特別　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          春陽特別　Ａ２　　　春陽特別　Ａ春陽特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000370000000740000003700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,1,6,8,7,10,5,4,3                                                  202,9,1,8,6,7,10,5,4,3                                                  302,9,8,1,(6,7),10,4,5,3                                                402,9,8,7,6,10,1,4,5,3                                                  0
RAA20150307201503064721041180000東海クラウン　Ａ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(THREE-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                            東海クラウン　Ａ１　東海クラウン東海ク0000E 000002000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　190000002400    0000800000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,8,1,4,2,5,3                                                       206,7,8,1,4,2,5,3                                                       306,8,4,2,7,5,1,3                                                       406,8,(4,7),2,5,1,3                                                     0
RAA20150321201503204722051080000笠松町長杯東海クラウン　Ａ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(THREE-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                            笠松町長杯東海クラウ笠松町長杯東笠松町0000E 000002000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    0000800000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,4,1,8,9,6,7,5,10                                                  202,3,4,1,8,9,6,7,5,10                                                  302,3,4,1,8,7,(6,9),5,10                                                402,3,4,1,7,8,6,9,5,10                                                  0
RAA20150304201503034721010750000サラ系Ｃ９組　Ｃ９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ９組　Ｃ９　サラ系Ｃ９組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,1,7,5,6,2,8,3                                                     204,9,1,7,5,6,2,8,3                                                     30(4,9),3,7,5,1,8,6,2                                                   409,3,4,7,8,5,1,2,6                                                     0
RAA20150318201503174722020150000サラ系Ｃ１１組　Ｃ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１１組　Ｃ１サラ系Ｃ１１サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,1,7,3,5,4                                                         202,1,6,7,3,5,4                                                         302,1,6,3,7,5,4                                                         402,1,3,7,5,4,6                                                         0
RAA20150320201503194722041070000春色特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          春色特別　Ｃ１　　　春色特別　Ｃ春色特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000190000000380000001900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,3,6,1,4,7,2,8,9                                                     205,3,1,6,4,7,2,8,9                                                     305,3,1,(4,6),7,2,9,8                                                   405,3,(4,6),7,1,2,8,9                                                   0
RAA20150321201503204722050880000サラ系Ｃ９組　Ｃ９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ９組　Ｃ９　サラ系Ｃ９組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707061030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,5,4,7,2,6                                                         201,3,5,4,7,6,2                                                         301,3,5,7,6,2                                                           401,3,5,7,6,2                                                           0
RAA20150304201503034721010850000サラ系Ｃ１０組　Ｃ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１０組　Ｃ１サラ系Ｃ１０サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00001300000002600000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,9,5,3,8,7,2,6,4,1                                                  2010,9,5,3,2,8,7,6,4,1                                                  3010,9,5,3,8,2,7,6,4,1                                                  4010,9,3,5,8,7,2,6,4,1                                                  0
RAA20150317201503164722010740000サラ系Ｃ１２組　Ｃ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１２組　Ｃ１サラ系Ｃ１２サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,7,6,4,8,3,5                                                       201,2,7,6,4,8,3,5                                                       30(1,6),(2,7),8,4,3,5                                                   401,6,7,2,8,3,4,5                                                       0
RAA20150307201503064721040580000サラ系Ｃ１３組　Ｃ１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１３組　Ｃ１サラ系Ｃ１３サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,9,7,10,5,8,2,6,3                                                  201,9,4,7,10,5,8,2,6,3                                                  301,9,7,(4,10),5,2,8,6,3                                                401,9,7,(4,10),5,2,8,6,3                                                0
