RAA20150206201502054417041170000雲取賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(THREE-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                                 雲取賞　　　　　　　雲取賞　　　雲取賞0000E 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    0006500000019500000130000000780000005200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,6,10,4,7,3,(8,9),5                                                201,(2,6),10,4,7,9,3,8,5                                                306,1,10,2,4,7,3,8,9,5                                                  401,6,10,2,7,8,4,3,9,5                                                  0
RAA20150226201502254418030660000サラ系一般　Ｃ２１１１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,12,6,5,7,9,(2,13),14,10,1,11,4,8                                    403,12,5,6,7,9,2,13,14,10,11,1,4,8                                      00                                                                      00                                                                      0
RAA20150203201502024417011240000早春特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          早春特別　Ｃ１一　　早春特別　Ｃ早春特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0002100000006300000042000000252000001680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001514141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,5,2,6,(3,7),(13,14),8,9,12,15,10                                  201,4,5,6,(2,13),(3,14),7,12,8,9,15,10                                  304,(1,5),6,7,2,9,(3,13),8,12,(14,15),10                                404,5,1,6,7,(2,9),(3,8),(13,15),12,10,14                                0
RAA20150225201502244418021250000風花特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          風花特別　Ｃ１一　　風花特別　Ｃ風花特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    000210000000630000004200000025200000168000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000161615204000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(2,11),10,16,7,12,6,13,5,9,8,15,1,3,4,14                              202,10,11,16,7,12,6,13,5,8,9,15,1,3,4,14                                30(2,10,11),(6,12,13),16,8,5,9,(7,15),1,3,14,4                          4011,2,(10,12),13,6,(5,8,9),3,1,(15,16),7,14,4                          0
RAA20150203201502024417010740000サラ系一般　Ｃ２四五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309,13,(7,11),5,1,(2,12),14,6,8,3,4,10                                  409,(7,13),11,2,(1,12),14,(5,6,8),3,4,10                                00                                                                      00                                                                      0
RAA20150226201502254418031260000若鮎特別　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          若鮎特別　Ｃ２一　　若鮎特別　Ｃ若鮎特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    00017000000051000000340000002040000013600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016161620300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001013,(1,3,7),8,4,9,10,6,16,11,14,2,12,5,15                              20(1,3),7,13,8,4,(9,10),6,16,11,14,2,5,12,15                            303,7,13,8,4,10,2,1,9,14,6,11,5,16,12,15                                403,8,7,2,4,13,10,9,1,14,6,11,5,(15,16),12                              0
RAA20150205201502044417030460000サラ系一般　Ｃ３七八九　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,11,12,14,4,(6,7),2,(5,13),9,10,8,3                                  401,11,12,(4,14),7,6,(2,5),13,(8,9),10,3                                00                                                                      00                                                                      0
RAA20150226201502254418031060000菜の花特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               菜の花特別　　　　　菜の花特別　菜の花0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00025000000087500000500000003750000025000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111120300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003010,7,11,(3,9),1,5,8,2,4,6                                             4010,7,11,3,1,9,5,8,2,4,6                                               00                                                                      00                                                                      0
RAA20150225201502244418020850000サラ系一般　Ｃ２九十　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２九十サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016161620400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003010,12,14,15,(4,8),16,5,3,7,2,(1,6),9,11,13                            4010,12,14,(4,8),15,16,5,3,2,7,6,(1,9),11,13                            00                                                                      00                                                                      0
RAA20150206201502054417041270000アメジスト賞　Ｂ２三Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          アメジスト賞　Ｂ２三アメジスト賞アメジ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000270000000810000005400000032400000216000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141414303000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020(2,3,9),4,(7,13),6,14,8,1,5,11,10,12                                  303,9,2,(4,7),13,14,8,(6,11),5,10,12,1                                  40(3,9),13,7,(2,4),14,6,8,11,5,10,(1,12)                                00                                                                      0
