UM12004020219781000291198003211980070919780330エリモプリンス　　　　　　　　　　　ｴﾘﾓﾌﾟﾘﾝｽ                                                                                        0                   03110411200243エリモオー　　　　　　　　　　　　　12211093エースプリンシパル　　　　　　　　　11300054Sir Ivor                            12107611インピユーデント　　　　　　　　　　11100931プリンシパルボーイ　　　　　　　　　12107875シルリアン　　　　　　　　　　　　　11300055Sir Gaylord                         12302534Attica                              11300522Owen Tudor                          12301137Saucy Lass                          11100928プリメラ　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100073タカクラヤマ　　　　　　　　　　　　12102030アサカゼ　　　　　　　　　　　　　　200125上田三千　　　　　　　　　　500404小林　良助　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　熊本県　　　　　　　603003山本　慎一　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781000321198003211980081119780418エースホワイト　　　　　　　　　　　ｴｰｽﾎﾜｲﾄ                                                                                         0                   03110411200243エリモオー　　　　　　　　　　　　　12211799ホワイトスネーク　　　　　　　　　　11300054Sir Ivor                            12107611インピユーデント　　　　　　　　　　11100806ニルコス　　　　　　　　　　　　　　12107338ハーバードウヤ　　　　　　　　　　　11300055Sir Gaylord                         12302534Attica                              11300522Owen Tudor                          12301137Saucy Lass                          11301148La Varende                          00000000　　　　　　　　　　　　　　　　　　11100565ラヴアンダン　　　　　　　　　　　　12103877ニシサン　　　　　　　　　　　　　　200125上田三千　　　　　　　　　　100404江藤　正幸　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　熊本県　　　　　　　101005増田　房二　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781048641198004111982040919780226アローコルセン　　　　　　　　　　　ｱﾛｰｺﾙｾﾝ                             Arrow Korusen(JPN)                                          0                   03110311200045アローエクスプレス　　　　　　　　　12106701タマツツジ　　　　　　　　　　　　　11100697スパニツシユイクスプレス　　　　　　12101405ソーダストリーム　　　　　　　　　　11100533ダイハード　　　　　　　　　　　　　12102074ボリソヴナ　　　　　　　　　　　　　11300082Sovereign Path                      00000000　　　　　　　　　　　　　　　　　　11300189Airborne                            12300955Pangani                             11300100Never Say Die                       00000000　　　　　　　　　　　　　　　　　　11300250Borealis                            12302192Petrovna                            100313見上恒芳　　　　　　　　　　730306見上牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　003005中西　きみ枝　　　　　　　　　　　　　　　　　　　　　　　　　　000133000000000000000000000000000000000034500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781048661198005271981051419780325エンドレスシチー　　　　　　　　　　ｴﾝﾄﾞﾚｽｼﾁｰ                           Endless City(JPN)                                           0                   00110111101015インターメゾ　　　　　　　　　　　　12205789ミスビラーゴ　　　　　　　　　　　　11300135Hornbeam                            00000000　　　　　　　　　　　　　　　　　　11100507ガーサント　　　　　　　　　　　　　12106837トラゴゼン　　　　　　　　　　　　　11300417Hyperion                            12402926Thicket                             00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11301115Bubbles                             00000000　　　　　　　　　　　　　　　　　　11100457チヤイナロツク　　　　　　　　　　　12102272ワカホウシユウ　　　　　　　　　　　200179坂口正二　　　　　　　　　　730306見上牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　321800友駿ホースクラブ　　　　　　　　　　　　　　　　　　　　　　　　000004500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781048671197912241982040419780314コンボーイシチー　　　　　　　　　　ｺﾝﾎﾞｰｲｼﾁｰ                           Convoy City(JPN)                                            0                   00110111101010セントクレスピン　　　　　　　　　　12108660ミスボンド　　　　　　　　　　　　　11300028Aureole                             00000000　　　　　　　　　　　　　　　　　　11100575ダラノーア　　　　　　　　　　　　　12103489コクコウ　　　　　　　　　　　　　　11300417Hyperion                            12300109Angelola                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300637Sunny Boy                           00000000　　　　　　　　　　　　　　　　　　11100079ライジングフレーム　　　　　　　　　12100911マリオン　　　　　　　　　　　　　　100313見上恒芳　　　　　　　　　　730306見上牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　321800友駿ホースクラブ　　　　　　　　　　　　　　　　　　　　　　　　000046600000000000000000000000000000000014500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781048691198001281982082119780303ヒヨシミノル　　　　　　　　　　　　ﾋﾖｼﾐﾉﾙ                              Hiyoshi Minoru(JPN)                                         0                   00310411200229ボールドコンバタント　　　　　　　　12203255チヨウセイ　　　　　　　　　　　　　11300247Bold Ruler                          00000000　　　　　　　　　　　　　　　　　　11100056リンボー　　　　　　　　　　　　　　12103472スマートクイン　　　　　　　　　　　11300493Nasrullah                           12401871Miss Disco                          00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300703War Admiral                         00000000　　　　　　　　　　　　　　　　　　11100010トシシロ　　　　　　　　　　　　　　12101479クモツバキ　　　　　　　　　　　　　100326矢野幸夫　　　　　　　　　　300306三木田　源一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　762000白石　稔　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781048721198002291981120919780404アロージョーカー　　　　　　　　　　ｱﾛｰｼﾞｮｰｶｰ                           Arrow Joker(JPN)                                            0                   03110311200045アローエクスプレス　　　　　　　　　12107477フイオレツテイ　　　　　　　　　　　11100697スパニツシユイクスプレス　　　　　　12101405ソーダストリーム　　　　　　　　　　11300622Songkoi                             12104570ゴールデンメルド　　　　　　　　　　11300082Sovereign Path                      00000000　　　　　　　　　　　　　　　　　　11300189Airborne                            12300955Pangani                             11300675Toulouse Lautrec                    12402560Scheggia                            11300429Jekyll                              12300549Golden Sonnet                       100149梶与四松　　　　　　　　　　100306三木田　武雄　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　975004伊達　秀和　　　　　　　　　　　　　　　　　　　　　　　　　　　000032900000000000000000000000000000000014500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781048741198006021982102819780420ブライトンアゲン　　　　　　　　　　ﾌﾞﾗｲﾄﾝｱｹﾞﾝ                          Brighton Again(JPN)                                         0                   00110411200284テユデナム　　　　　　　　　　　　　12204931シルバリードミノ　　　　　　　　　　11300090Tudor Melody                        00000000　　　　　　　　　　　　　　　　　　11100744フイダルゴ　　　　　　　　　　　　　12107554ブラツクドミノ　　　　　　　　　　　11300089Tudor Minstrel                      12300796Matelda                             00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11301147Arctic Star                         00000000　　　　　　　　　　　　　　　　　　11100459タリヤートス　　　　　　　　　　　　12103429フアラデイバ　　　　　　　　　　　　100248内藤一雄　　　　　　　　　　400306三木田　久之助　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　350004浅川　皓司　　　　　　　　　　　　　　　　　　　　　　　　　　　000296800000000000000002524000000000000055500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781048761198007181981081719780423ゴールドコースト　　　　　　　　　　ｺﾞｰﾙﾄﾞｺｰｽﾄ                          Gold Coast(JPN)                                             0                   00110111200285シユプリームギフト　　　　　　　　　12202473カサンドラ　　　　　　　　　　　　　11300074Supreme Sovereign                   00000000　　　　　　　　　　　　　　　　　　11100627ボウプリンス　　　　　　　　　　　　12103429フアラデイバ　　　　　　　　　　　　11300082Sovereign Path                      12403066Valtellina                          00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300555Prince Chevalier                    00000000　　　　　　　　　　　　　　　　　　11100161ハロウエー　　　　　　　　　　　　　12101405ソーダストリーム　　　　　　　　　　100240柄崎義信　　　　　　　　　　500306三澤牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　975004伊達　秀和　　　　　　　　　　　　　　　　　　　　　　　　　　　000025500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781048781198004231980082719780509ジェントルシチー　　　　　　　　　　ｼﾞｪﾝﾄﾙｼﾁｰ                                                                                       0                   00110411200284テユデナム　　　　　　　　　　　　　12205790ジユルビアン　　　　　　　　　　　　11300090Tudor Melody                        00000000　　　　　　　　　　　　　　　　　　11100535ユアハイネス　　　　　　　　　　　　12103429フアラデイバ　　　　　　　　　　　　11300089Tudor Minstrel                      12300796Matelda                             00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300267Chamossaire                         00000000　　　　　　　　　　　　　　　　　　11100161ハロウエー　　　　　　　　　　　　　12101405ソーダストリーム　　　　　　　　　　100313見上恒芳　　　　　　　　　　500306三澤牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　321800友駿ホースクラブ　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781048791198002291982051319780422スペキュレーター　　　　　　　　　　ｽﾍﾟｷｭﾚｰﾀｰ                           Speculator(JPN)                                             0                   00110111200146イエローゴツド　　　　　　　　　　　12209522セントソフイア　　　　　　　　　　　11300171Red God                             00000000　　　　　　　　　　　　　　　　　　11101010セントクレスピン　　　　　　　　　　12105821アンドロメダ　　　　　　　　　　　　11300493Nasrullah                           12301204Spring Run                          00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300028Aureole                             00000000　　　　　　　　　　　　　　　　　　11100361ソロナウエー　　　　　　　　　　　　12101405ソーダストリーム　　　　　　　　　　100219高松邦男　　　　　　　　　　500306三澤牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　975004伊達　秀和　　　　　　　　　　　　　　　　　　　　　　　　　　　000065600000000000000000000000000000000014500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781048831197912181982042519780531サクノトキワ　　　　　　　　　　　　ｻｸﾉﾄｷﾜ                              Sakuno Tokiwa(JPN)                                          0                   00110111200151プリンスロイヤル　　　　　　　　　　12202471サイコーワカバ　　　　　　　　　　　11300581Ribot                               00000000　　　　　　　　　　　　　　　　　　11100728インデイアナ　　　　　　　　　　　　12105228ザセクレタリー　　　　　　　　　　　11300652Tenerani                            12402440Romanella                           00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300603Sayajirao                           00000000　　　　　　　　　　　　　　　　　　11300654The Cobbler                         12300283Chantry's Daughter                  200129内田繁三　　　　　　　　　　900306三田　理行　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　089800中村　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781048901198007181981091819780525リュウベリー　　　　　　　　　　　　ﾘｭｳﾍﾞﾘｰ                             Ryu Berry(JPN)                                              0                   00110111200077クロケツト　　　　　　　　　　　　　12205453ビヤクラン　　　　　　　　　　　　　11300434King of the Tudors                  00000000　　　　　　　　　　　　　　　　　　11100796ブランブルー　　　　　　　　　　　　12107838ガーベラ　　　　　　　　　　　　　　11300089Tudor Minstrel                      12401183Glen Line                           00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300437Klairon                             00000000　　　　　　　　　　　　　　　　　　11300308Dawn Watch                          12103456パースエイジヤン　　　　　　　　　　100167黒坂洋基　　　　　　　　　　600306三宅　治郎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　577001福井　章哉　　　　　　　　　　　　　　　　　　　　　　　　　　　000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781048921197912181983020319780417カシワクラッセ　　　　　　　　　　　ｶｼﾜｸﾗｯｾ                             Kashiwa Classee(JPN)                                        0                   00110111101028アラナス　　　　　　　　　　　　　　12108569ミスフオードシロー　　　　　　　　　11300157Right Royal                         00000000　　　　　　　　　　　　　　　　　　11100461オーロイ　　　　　　　　　　　　　　12103482フオードモレナ　　　　　　　　　　　11300522Owen Tudor                          12400237Bastia                              00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300028Aureole                             00000000　　　　　　　　　　　　　　　　　　11100013トビサクラ　　　　　　　　　　　　　12101222月甲　　　　　　　　　　　　　　　　100149梶与四松　　　　　　　　　　600306三宅　治郎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　922005柏倉　譲　　　　　　　　　　　　　　　　　　　　　　　　　　　　000304600000000000000002756000000000000074500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781048991198004151982122319780329トナミエース　　　　　　　　　　　　ﾄﾅﾐｴｰｽ                              Tonami Ace(JPN)                                             0                   00110511200124アストラルグリーン　　　　　　　　　12202916アンザラ　　　　　　　　　　　　　　11300028Aureole                             00000000　　　　　　　　　　　　　　　　　　11100936ヴエンチア　　　　　　　　　　　　　12301347V. I. P.                            11300417Hyperion                            12300109Angelola                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300172Relic                               00000000　　　　　　　　　　　　　　　　　　11300611Sicambre                            12403162Whip                                200120戌亥信義　　　　　　　　　　930307守山牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　194009砺波　寿　　　　　　　　　　　　　　　　　　　　　　　　　　　　000021000000254700000000000000000000000020000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781049021198010031981090219780612ホシファバー　　　　　　　　　　　　ﾎｼﾌｧﾊﾞｰ                             Hoshi Faber(JPN)                                            0                   00110111101013フアバージ　　　　　　　　　　　　　12106987ホシカオリ　　　　　　　　　　　　　11300558Princely Gift                       12302536Spring Offensive                    11100501テユーダーペリオツド　　　　　　　　12102881ベストセラー　　　　　　　　　　　　11300493Nasrullah                           12400343Blue Gem                            11400283Legend of France                    12400238Batika                              11300522Owen Tudor                          00000000　　　　　　　　　　　　　　　　　　11100249ボストニアン　　　　　　　　　　　　12101515マナスル　　　　　　　　　　　　　　200158北橋修二　　　　　　　　　　930307守山牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　430009増本　一男　　　　　　　　　　　　　　　　　　　　　　　　　　　000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781049081198001281984030419780310バークレーロード　　　　　　　　　　ﾊﾞｰｸﾚｰﾛｰﾄﾞ                          Berkeley Lord(JPN)                                          0                   00110111101013フアバージ　　　　　　　　　　　　　12206565スプリングホープ　　　　　　　　　　11300558Princely Gift                       12302536Spring Offensive                    11100533ダイハード　　　　　　　　　　　　　12104055ミスソロナウエー　　　　　　　　　　11300493Nasrullah                           12400343Blue Gem                            11400283Legend of France                    12400238Batika                              11300100Never Say Die                       00000000　　　　　　　　　　　　　　　　　　11100361ソロナウエー　　　　　　　　　　　　12101766スプリングサン　　　　　　　　　　　100326矢野幸夫　　　　　　　　　　800307矢野牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　170800ロードホースクラブ　　　　　　　　　　　　　　　　　　　　　　　000270400000092900000000644000000000000096000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781049111198003171985101319780416パラストプリンス　　　　　　　　　　ﾊﾟﾗｽﾄﾌﾟﾘﾝｽ                          Palast Prince(JPN)                                          0                   00110411200042コントライト　　　　　　　　　　　　12207456ミスザリバ　　　　　　　　　　　　　11300100Never Say Die                       00000000　　　　　　　　　　　　　　　　　　11100959ネプテユーヌス　　　　　　　　　　　12107820リユウザリバ　　　　　　　　　　　　11300493Nasrullah                           12402674Singing Grass                       00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11301169Neptune                             00000000　　　　　　　　　　　　　　　　　　11300405Herbager                            12103315アナドリ　　　　　　　　　　　　　　100326矢野幸夫　　　　　　　　　　800307矢野牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　778004徳原　秀嗣　　　　　　　　　　　　　　　　　　　　　　　　　　　000466200000000000000002856000000000000096000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781049171198012111981112519780403タニノマサトシ　　　　　　　　　　　ﾀﾆﾉﾏｻﾄｼ                             Tanino Masatoshi(JPN)                                       0                   03110311200322タニノチカラ　　　　　　　　　　　　12104147イシユクーダー　　　　　　　　　　　11100796ブランブルー　　　　　　　　　　　　12104612タニノチエリ　　　　　　　　　　　　11300152Mossborough                         12300957Papoose                             11300437Klairon                             00000000　　　　　　　　　　　　　　　　　　11100458テイエポロ　　　　　　　　　　　　　12101238シーマン　　　　　　　　　　　　　　11300496Nearco                              12400071All Moonshine                       11300490My Babu                             12401387Indian Call                         200244鶴留明雄　　　　　　　　　　900308山口　忠義　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　190800カントリー牧場　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781049181198006021981101619780425タニノサダヒデ　　　　　　　　　　　ﾀﾆﾉｻﾀﾞﾋﾃﾞ                           Tanino Sadahide(JPN)                                        0                   03110311200322タニノチカラ　　　　　　　　　　　　12207264タニノアベイ　　　　　　　　　　　　11100796ブランブルー　　　　　　　　　　　　12104612タニノチエリ　　　　　　　　　　　　11100816ターキン　　　　　　　　　　　　　　12105247アベイブリツジ　　　　　　　　　　　11300437Klairon                             00000000　　　　　　　　　　　　　　　　　　11100458テイエポロ　　　　　　　　　　　　　12101238シーマン　　　　　　　　　　　　　　11300604Scratch                             00000000　　　　　　　　　　　　　　　　　　11300346Entente Cordiale                    12300243British Railways                    200247戸山為夫　　　　　　　　　　900308山口　忠義　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　764001谷水　雄三　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781049211198004221982120219780329マルタカテンザン　　　　　　　　　　ﾏﾙﾀｶﾃﾝｻﾞﾝ                           Marutaka Tenzan(JPN)                                        0                   00110111100795テスコボーイ　　　　　　　　　　　　12201328サツキテンザン　　　　　　　　　　　11300558Princely Gift                       00000000　　　　　　　　　　　　　　　　　　11100627ボウプリンス　　　　　　　　　　　　12103629クサブエ　　　　　　　　　　　　　　11300493Nasrullah                           12400343Blue Gem                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300555Prince Chevalier                    00000000　　　　　　　　　　　　　　　　　　11100263ヒンドスタン　　　　　　　　　　　　12100631ミチギク　　　　　　　　　　　　　　100298本郷重彦　　　　　　　　　　700308山口　実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　096009鈴木　隆雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000215400000000000000001284000000000000054500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781049221198004211981123019780428マルタカバーツ　　　　　　　　　　　ﾏﾙﾀｶﾊﾞｰﾂ                            Marutaka Barts(JPN)                                         0                   00110311200352ハーデイカヌート　　　　　　　　　　12208703ソブリンズサン　　　　　　　　　　　11100800ハードリドン　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300846Gold Sovereign                      12301899Sunny Babe                          11300105Hard Sauce                          00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300048Grey Sovereign                      00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　100297本郷一彦　　　　　　　　　　700308山口　実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　096009鈴木　隆雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000169400000000000000000000000000000000054500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
