05184301
12,グッドレイズ,116.00,71.4,52.0
13,ウインプリンツ,119.30,28.4,48.4
14,カルロスミノル,115.62,71.3,51.4
08184302
1,スズカルージュ,71.87,17.2,44.9
2,ピサノメタルシティ,70.56,58.1,52.8
3,タガノレンリ,70.29,30.0,48.2
4,ジョーカリン,70.87,46.5,46.7
5,ペプチドルーカス,69.62,72.0,50.3
6,ホッコーシェルビー,70.95,37.4,52.2
7,キンショーダンサー,70.52,55.8,53.1
8,ドゥシャンパーニュ,71.51,78.2,54.6
9,クールリアル,70.26,61.8,47.1
10,ヒラソール,71.11,70.9,53.7
11,クニサキミッチイ,71.70,21.5,46.5
08184303
1,キララアモーレ,82.61,44.7,
2,ゲンティアナ,82.13,66.1,
3,エイシンホルス,82.30,39.7,
4,セクシーサンキュー,82.81,33.9,
5,ミトノクリ,82.36,55.6,
6,クリスタルオーブ,82.07,44.5,
7,メモリーハイル,82.34,45.0,
8,ソルトイブキ,82.31,41.8,
9,ハバネロ,82.39,48.0,
10,ジュディシャス,82.32,53.8,
11,エピックガール,82.23,56.3,
12,レッドベレーザ,82.16,66.2,
13,オーバーザシード,82.38,56.6,
14,サンダガ,82.37,41.3,
15,コルデトゥリーニ,82.20,48.2,
16,クリノジョーカー,82.49,51.2,
17,スカーレットベガ,82.43,41.4,
18,ゴルディアス,82.33,65.0,
08184304
1,サンダーラム,204.04,,
2,メイショウヒカル,199.80,,
3,ユキノエルドール,201.56,,
4,マコトシャムロック,202.41,,
5,メメニシコリ,198.67,,
6,ダイチョウセブン,202.04,,
7,シゲルミズナ,202.21,,
8,ショウナンバローロ,201.08,,
9,デカルコマニー,202.68,,
10,ゴードン,203.15,,
11,ヤマニンルネッタ,205.07,,
08184305
1,クリノガウディー,111.16,37.2,44.0
2,ウインパーチェ,110.58,58.2,49.8
3,タンタラス,110.10,55.2,52.9
4,パルメ,110.53,37.3,51.4
5,アスタードラゴン,111.47,38.8,48.5
6,シャルムダムール,110.13,54.9,54.1
7,アマリリステソーロ,111.30,43.0,47.6
8,アンクルテイオウ,110.41,61.1,53.0
9,アスクフラッシュ,110.20,62.9,47.8
10,ヤマニンスプレモ,110.80,40.6,46.9
11,ミッキーバディーラ,110.40,65.8,58.6
12,オースミヌーベル,111.09,44.3,45.3
08184306
1,マルヨシャバーリー,120.32,57.0,47.1
2,アサケハーツ,121.12,48.9,48.8
3,サマーサプライズ,120.09,54.7,55.2
4,ウォーターマーズ,120.27,61.9,47.8
5,ウォーターロレンス,122.53,18.0,50.0
6,ナムラカブト,121.99,32.2,49.5
7,マグナレガーロ,119.63,76.7,50.8
8,グローバルビジネス,121.43,30.4,48.7
9,ランドジュピター,120.01,65.8,55.4
10,クリノカポネ,121.16,54.0,46.8
08184307
1,エアハンコック,73.26,50.6,54.8
2,セルリアンユウガ,74.41,22.9,43.5
3,コラード,73.13,46.1,49.8
4,ジュエアトゥー,72.29,67.4,54.6
5,ダノンメモリー,72.30,70.1,47.4
6,イナズママンボ,72.53,60.6,42.8
7,スマートアルタイル,72.12,72.8,60.4
8,メイショウバンダイ,72.52,56.5,51.8
9,エレスチャル,74.32,35.2,46.8
10,メイショウアワジ,72.56,42.7,47.5
11,クリノシャガール,73.81,24.2,47.1
12,カロス,73.18,45.7,46.5
13,ブライトエンパイア,72.26,77.4,51.0
14,グランロックハート,73.89,27.0,56.1
08184308
1,クリノアスコット,115.08,44.6,54.4
2,マーブルフレンテ,114.12,49.1,50.6
3,カカアコ,113.99,54.1,50.8
