03143401
7,コパノアルディー,98.22,57.7,48.1,
8,リターンエース,98.92,35.6,41.5,
9,ダイアウルフ,98.08,58.3,44.6,
10,ヴァリアントアロー,97.92,67.3,59.4,
11,ウインメーヴェ,98.13,31.0,45.0,
12,ラッシュアタック,98.23,64.5,52.6,
13,ウイングジャパン,98.53,47.2,46.7,
14,シングルバレル,98.52,49.0,48.3,
15,レオクイック,98.95,41.0,45.5,
05144705
1,フレンドスイート,87.32,23.5,55.6,82
2,オペラフォンテン,86.90,21.6,47.9,94
3,ベリートゥベリー,85.45,78.0,48.1,116
4,セトノブロッサム,86.55,40.4,45.7,103
5,サタンズクラウン,86.25,56.6,50.3,111
6,オーゴンボルト,85.95,60.9,52.2,103
7,ケイリンボス,85.88,64.5,52.4,106
8,パトロクロス,86.19,42.6,50.4,104
9,ウルトラサウンド,86.22,49.4,48.6,91
10,ゲマインシャフト,85.49,72.8,49.9,119
11,シャークベイ,86.02,38.5,55.4,115
12,プレミアムゴールド,86.61,35.9,44.7,99
13,ブライトマーサ,86.09,64.8,48.6,103
05144706
1,フライングスキップ,121.40,69.0,52.6,122
2,ハナズドリーム,121.80,34.1,53.5,87
3,タイセイグルーヴィ,120.62,81.9,53.6,119
4,アドマイヤイチバン,121.05,53.0,39.5,112
5,ルミナスウォリアー,120.69,47.3,42.2,110
6,ロンギングゴールド,121.03,61.4,48.1,114
7,マイネルクレイズ,120.98,35.3,47.9,95
8,レッドソレイユ,120.13,68.8,59.5,116
9,ロッカバラード,120.67,58.6,54.4,103
10,ナイフリッジ,121.24,48.0,50.6,100
11,レッドオラシオン,121.32,34.5,47.3,102
12,ミラクルラヴィ,121.46,36.5,61.6,100
13,ヒカルマナムスメ,122.08,18.8,59.2,84
14,アルバート,121.06,41.2,48.9,103
15,フジマサクラウン,121.23,59.8,48.3,120
16,ウマンマミーア,121.33,62.7,37.5,102
17,ローレルラスター,121.55,38.0,45.5,97
05144707
1,ローズマンブリッジ,99.38,46.0,50.3,98
2,ハナズインパルス,99.41,53.3,51.2,106
3,ヤマニンミミック,99.46,41.9,45.2,97
4,ブルーバレット,99.06,72.6,52.1,122
5,キャメロンロード,100.16,27.7,49.1,91
6,ロマンシングジェム,99.36,56.1,52.6,95
7,ヴァールハイト,98.97,68.9,53.1,116
8,クレバーパルマ,99.07,53.4,52.5,112
9,ナルミチャン,100.35,21.4,47.1,99
10,オリアーナ,99.21,44.9,50.9,108
11,アスカクイン,98.88,74.0,50.7,124
12,ノーブルガイア,99.25,39.1,45.2,105
05144708
1,オウケンブラック,147.13,48.2,52.7,103
2,フェスティヴイェル,145.44,59.7,47.4,127
3,マイネルテンクウ,146.61,61.2,47.4,104
4,ヒールゼアハーツ,147.26,23.8,56.6,99
5,マイネルリヒト,146.94,20.5,50.7,93
6,ラングレー,145.91,85.3,56.5,128
