RAA20121018201210173013050560000３歳以上Ｃ４－１組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－１組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　170000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,6,3,7,2,9,1,4,5                                                     208,6,3,(2,7),9,1,4,5                                                   30(6,8),3,7,2,9,1,5,4                                                   406,8,3,7,9,2,(1,5),4                                                   0
RAA20121018201210173013051060000ウィナーズＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                              ウィナーズＣｈ（中央ウィナーズＣウィナ0000E 110002000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　120000002400    0002000000004000000030000000200000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,6,(1,4,9),7,2,8,3                                                   40(5,6),9,4,7,1,(2,8),3                                                 00                                                                      00                                                                      0
RAA20121025201210243014021160000トワイニング賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 トワイニング賞　　　トワイニングトワイ0000E 110004000000000000000サラ系２歳　１００万下　　　　　　　　　　　　　　　　　　　100000002400    0000550000001100000008300000055000000270000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,(5,7),9,6,(4,8),(1,2)                                               40(3,5,7),9,(2,8),6,(1,4)                                               00                                                                      00                                                                      0
RAA20121026201210253014030670000Ａｉｂａ静内祭賞　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ａｉｂａ静内祭賞　ＣＡｉｂａ静内Ａｉｂ0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　120000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,(11,12),(1,3),2,(4,8),7,5,10,9                                      406,(3,11),(1,12),(2,4),8,7,5,10,9                                      00                                                                      00                                                                      0
RAA20121031201210303014040450000３歳以上Ｃ４－４組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－４組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　100000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211112030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,7,12,(2,6),11,8,3,4,9,5                                             401,7,12,6,2,11,8,3,4,9,5                                               00                                                                      00                                                                      0
RAA20121031201210303014041250000ヤングＣｈＣ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                              ヤングＣｈＣ１　　　ヤングＣｈＣヤング0000E 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　100000002400    000100000000200000001500000010000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909203000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(5,9),(4,7),1,6,(3,8),2                                               405,9,7,4,1,6,3,8,2                                                     00                                                                      00                                                                      0
RAA20121101201210313014050560000３歳以上Ｃ４－３組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－３組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　120000002400    000015000000024000000180000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121111203000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(5,10),9,(1,3),(4,8),7,12,(2,6)                                       40(5,10),(1,3,9),(4,8),7,12,2,6                                         00                                                                      00                                                                      0
RAA20121101201210313014050960000ウィナーズＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                              ウィナーズＣｈ（中央ウィナーズＣウィナ0000E 110002000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　180000002400    0002000000004000000030000000200000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,11,4,(1,7),8,6,5,9,10,2                                             203,11,(1,4),7,(6,8),5,9,10,2                                           30(3,11),(4,7),1,(6,8,10),5,9,2                                         40(3,4,11),7,1,(8,10),6,5,(2,9)                                         0
RAA20121003201210023012040550000３歳以上Ｃ４－４組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－４組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　100000002400    000015000000024000000180000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(5,9),12,(2,6),(1,11),4,7,10,(3,8)                                    405,9,12,2,(1,6),4,11,10,7,(3,8)                                        00                                                                      00                                                                      0
RAA20121004201210033012051060000ウィナーズＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                              ウィナーズＣｈ（中央ウィナーズＣウィナ0000E 110002000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　180000002400    0002000000004000000030000000200000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,6,8,(1,3,4,10),2,5,9                                                207,(6,8),(1,3,4,10),2,5,9                                              30(6,7),8,(1,4,10),2,(3,5,9)                                            407,6,8,(1,4),10,(2,9),3,5                                              0
RAA20121005201210043012060870000千歳支笏湖紅葉まつり賞　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     千歳支笏湖紅葉まつり千歳支笏湖紅千歳支0000  000004000000000000000サラ系一般　１２０万下　　　　　　　　　　　　　　　　　　　120000002400    000020000000040000000300000002000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(5,6),10,(7,12),2,(3,11),(1,8),9,4                                    405,6,10,12,(2,7),(3,11),1,8,(4,9)                                      00                                                                      00                                                                      0
